SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_score,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state,SOC_gender_score,SOC_caste_score,SOCIAL_VULNERABILITY_IDX,MULTIDIMENSIONAL_HEALTH_IDX
IHDS-II 2,Tamil Nadu 33,1,2,10,1,4.0,330102,3301020101,330102010104,8056.05342789,8056.0,1.0,Thiruvallur,1,3,12.0,2,12.0,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,7,8,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,2.0,7th class 7,,Tamil 9,3rd class 3,35.0,15.0,0.0,0.0,,,,,,Yes 1,Yes 1,Yes 1,0.0,0.0,2000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30.0,1,Govt Doc/Nurse 1,Other Town,Pvt Doc/Nurse 3,Other Town,Antibiotic 2,10.0,100000.0,Yes 1,0.0,2000.0,,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,168.0,168.0,Standing 2,55.20000076294,55.20000076294,No 0,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,4.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,98642.0,24660.5,18.0,17.0,,,0.0,0.0,,0.0,40000.0,0.0,,40000.0,10000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,40000.0,40.0,33.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,9500.0,30500.0,0.0,9500.0,0.0,0,7.0,5.0,7.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.9957723770510823,10.112998602119042,9.210340371976184,Inactive,0.0,0.0,0.0,0.0,0.0,102000.0,102000.0,103.4042294357373,1.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Tamil Nadu,0.0,0.5,0.25,0.17638888888888887
IHDS-II 2,Tamil Nadu 33,1,2,50,1,1.0,330102,3301020501,330102050101,8056.05342789,8056.0,1.0,Thiruvallur,1,1,54.0,1,2.0,2.0,Dead,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,Govt Doc/Nurse 1,Other Town,Pvt Doc/Nurse 3,Other Town,Antibiotic 2,0.0,10000.0,No 0,1000.0,500.0,,1,1,1,1,1,1,1,4,4,1,3,,,170.0,170.0,Standing 2,62.29999923707,62.29999923707,No 0,0,2,largest six metro areas,Chennai 4,441.69000244141,955.0,0.5735537409782,5.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,139422.0,27884.4003907,17.0,16.0,,,0.0,0.0,,0.0,69250.0,0.0,,69250.0,13850.0,none 0,none 0,AGRICULTURE WAGE LABOUR,Ag labour 63,Agriculture 0,175.0,7.0,8.0,1400.0,Per Day 1,150.0,26250.0,26250.0,18.75,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,30.0,175.0,1400.0,26250.0,parttime 3,,,,none 0,,,,none 0,,,,none 0,175.0,1400.0,parttime 3,43000.0,54.0,44.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,43000.0,26250.0,0.0,8000.0,35000.0,0,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.5,0.2037037037037037,0.0611111111111111,0.9957723770510823,10.235858547361415,9.536040511615484,Agricultural,1.0,0.0,0.0,0.0,0.0,11500.0,11500.0,8.248339573381532,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tamil Nadu,0.0,0.5,0.25,0.09305555555555556
IHDS-II 2,Tamil Nadu 33,1,2,100,1,1.0,330102,3301021001,330102100101,8056.05342789,8056.0,1.0,Thiruvallur,1,1,40.0,1,4.0,2.0,IF Spouse/Parent outside for more than 6 months,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15.0,1,Govt Doc/Nurse in Pvt 2,Other Town,Govt Doc/Nurse in Pvt 2,Other Town,Other Allopathic 3,0.0,15000.0,Yes 1,500.0,200.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,172.10000610352,172.10000610352,Standing 2,52.09999847413,52.09999847413,No 0,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,5.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,48235.0,9647.0,10.0,9.0,,,0.0,0.0,,0.0,59750.0,0.0,,59750.0,11950.0,none 0,none 0,NON AGRICULTURE WAGE LABOUR,Construction 95,Construction 50,200.0,8.0,8.0,1600.0,Per Day 1,200.0,40000.0,40000.0,25.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private firm 2,30.0,,,,none 0,200.0,1600.0,40000.0,parttime 3,,,,none 0,,,,none 0,200.0,1600.0,parttime 3,19750.0,40.0,38.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,59750.0,0.0,0.0,4750.0,55000.0,0,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.9957723770510823,9.174505918966966,9.388486557359656,Wage,0.0,1.0,0.0,0.0,0.0,15700.0,15700.0,32.548978957188766,1.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Tamil Nadu,0.0,0.5,0.25,0.17638888888888887
IHDS-II 2,Tamil Nadu 33,1,2,120,1,1.0,330102,3301021201,330102120101,8056.05342789,8056.0,1.0,Thiruvallur,1,1,50.0,1,8.0,2.0,Dead,Dead,1,1,75.0,2.0,150.0,2,1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,1,1,0,10,10,0,0,II,-1,-1,-1,-1,.d,1,1,4,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,130.0,1,Pvt Doc/Nurse 3,Other Town,Pvt Doc/Nurse 3,Other Town,Homeopathy 5,45.0,50000.0,Yes 1,1200.0,800.0,,0,0,0,0,0,0,0,-1,-1,-1,-1,,,172.10000610352,172.10000610352,Standing 2,60.09999847413,60.09999847413,No 0,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,5.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,180780.0,36156.0,20.0,19.0,-3022.0,0.0,0.0,-3022.0,,0.0,197070.0,0.0,,194048.0,38809.6015625,none 0,none 0,HIGH WAY WORKER,Clerical nec 35,Public admin 90,250.0,12.0,8.0,2000.0,Per Month 2,15860.0,190320.0,192320.0,96.1600036622,No,No 0,No 0,0.0,0.0,2000.0,Regular/Permanent/Longer contract,Govt/PSU 1,30.0,,,,none 0,,,,none 0,250.0,2000.0,192320.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,325.0,2150.0,ft yr 4,4750.0,50.0,48.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4750.0,0.0,192320.0,4750.0,0.0,0,15.0,15.0,12.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.9957723770510823,10.49562584646259,10.56642295794849,Salaried,0.0,0.0,0.0,1.0,0.0,52000.0,52000.0,28.76424383228233,1.0,0.0,130.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Tamil Nadu,0.0,0.5,0.25,0.17638888888888887
IHDS-II 2,Tamil Nadu 33,1,2,130,1,2.0,330102,3301021301,330102130102,8056.05342789,8056.0,1.0,Thiruvallur,2,2,46.0,1,4.0,1.0,,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1,1,0,-1,-1,-1,5.0,1,1,2,Govt Doc/Nurse 1,Other Town,Antibiotic 2,0.0,0.0,0,500.0,200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,1,1,1,1,1,1,1,-1,-1,-1,-1,Main quest. 1,,155.10000610352,155.10000610352,Standing 2,52.0,52.0,Yes 1,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,2.0,Yes 1,Yes 1,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,48418.0,24209.0,18.0,17.0,,,0.0,0.0,,0.0,56900.0,0.0,,56900.0,28450.0,none 0,none 0,AGRICULTURE WAGE LABOUR,Ag labour 63,Agriculture 0,180.0,7.199999809265,8.0,1440.0,Per Day 1,80.0,14400.0,14400.0,10.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,30.0,180.0,1440.0,14400.0,parttime 3,,,,none 0,,,,none 0,,,,none 0,180.0,1440.0,parttime 3,42500.0,52.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56900.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.5,0.0,0.5,0.3333333333333333,0.225,1.9064723926067697,10.094521049932103,10.255903439554476,Wage,0.0,1.0,0.0,0.0,700.0,0.0,700.0,1.4457433186005204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Tamil Nadu,1.0,0.5,0.75,0.3
IHDS-II 2,Tamil Nadu 33,1,2,140,1,3.0,330102,3301021401,330102140103,8056.05342789,8056.0,1.0,Thiruvallur,2,3,12.0,2,12.0,,Dead,1.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,1,1,1,5,5,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,3.0,5th class 5,,Tamil 9,none 0,40.0,30.0,0.0,9.0,,,,,,Yes 1,Yes 1,Yes 1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,8.0,1,1,1,0,-1,-1,-1,8.0,1,3,4,,,Homeopathy 5,0.0,500.0,1,200.0,50.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,2.0,153.19999694825,153.19999694825,Standing 2,45.20000076294,45.20000076294,No 0,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,3.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,44600.0,14866.6669922,16.0,15.0,,,0.0,0.0,,0.0,19750.0,0.0,,19750.0,6583.3334961,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,19750.0,,35.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19750.0,0.0,0.0,4750.0,15000.0,0,8.0,,8.0,,,,,,,,,No 0,,,No 0,,,0.56,0.0,0.0,0.1866666666666666,0.252,2.173597261230852,9.606944133547264,8.792296506385208,Inactive,0.0,0.0,0.0,0.0,750.0,0.0,750.0,1.6816143497757847,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.1666666666666666,Tamil Nadu,1.0,0.5,0.75,0.35516666666666663
IHDS-II 2,Tamil Nadu 33,1,2,160,1,5.0,330102,3301021601,330102160105,8056.05342789,8056.0,1.0,Thiruvallur,1,3,9.0,2,14.0,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1,1,1,0,-1,-1,10.0,1,2,4,Govt Doc/Nurse in Pvt 2,Other Town,Homeopathy 5,0.0,300.0,1,50.0,50.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,3.0,158.10000610352,158.10000610352,Standing 2,46.20000076294,46.09999847413,No 0,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,5.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,42940.0,8588.0,9.0,9.0,,,0.0,0.0,,0.0,45000.0,0.0,,45000.0,9000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,45000.0,38.0,28.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,45000.0,0.0,0.0,5000.0,40000.0,0,10.0,10.0,8.0,,,,,,,,,No 0,,,No 0,,,0.6000000000000001,0.0,0.0,0.2,0.2700000000000001,2.3040318800275257,9.058237593766226,9.104979856318357,Inactive,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.9315323707498836,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,Tamil Nadu,0.0,0.5,0.25,0.2391666666666667
IHDS-II 2,Tamil Nadu 33,1,2,170,1,3.0,330102,3301021701,330102170103,8056.05342789,8056.0,1.0,Thiruvallur,2,3,15.0,2,12.0,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,1,1,1,10,10,0,0,.d,-1,-1,-1,-1,.d,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,,Secondary 10,Home sciences/ Craft/Design 10,Tamil 9,3rd class 3,35.0,15.0,,0.0,,,,,,Yes 1,Yes 1,Yes 1,0.0,0.0,2000.0,0.0,1200.0,,,,,,,,,,,,,,,,,,,,,,5.0,1,1,1,1,0,2,0,5.0,1,1,4,Pvt Doc/Nurse 3,Other Town,Antibiotic 2,0.0,2000.0,0,500.0,200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,155.0,155.0,Standing 2,42.29999923707,42.29999923707,No 0,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,6.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,,,15.0,14.0,,,0.0,0.0,,0.0,38000.0,0.0,,38000.0,6333.3334961,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,38000.0,37.0,32.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8000.0,30000.0,0.0,8000.0,0.0,0,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.5,0.0,0.0,0.1666666666666666,0.225,1.9064723926067697,,8.753581995180468,Inactive,0.0,0.0,0.0,0.0,2700.0,0.0,2700.0,,,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,Tamil Nadu,1.0,0.5,0.75,0.3416666666666667
IHDS-II 2,Tamil Nadu 33,1,2,190,1,2.0,330102,3301021901,330102190102,8056.05342789,8056.0,1.0,Thiruvallur,2,2,39.0,1,11.0,1.0,Dead,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,5,5,0,1,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.0,1,Govt Doc/Nurse 1,Other Town,Pvt Doc/Nurse 3,Other Town,Antibiotic 2,0.0,10000.0,Yes 1,0.0,500.0,,1,1,1,1,1,1,1,-1,-1,-1,-1,,,158.0,158.0,Standing 2,61.29999923707,61.29999923707,Yes 1,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,4.0,Yes 1,Yes 1,Christian 3,Scheduled Castes (SC) 4,Dalit 4,,,,198938.0,49734.5,21.0,20.0,,,0.0,0.0,,0.0,161500.0,1500.0,,163000.0,40750.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,163000.0,48.0,39.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,9500.0,0.0,152000.0,9500.0,0.0,0,8.0,8.0,5.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.5,0.2037037037037037,0.0611111111111111,0.9957723770510823,10.814474242818378,10.61521111866901,Inactive,0.0,0.0,0.0,0.0,0.0,10500.0,10500.0,5.278026319757915,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tamil Nadu,1.0,0.5,0.75,0.21805555555555556
IHDS-II 2,Tamil Nadu 33,1,2,200,1,2.0,330102,3301022001,330102200102,8056.05342789,8056.0,1.0,Thiruvallur,2,2,34.0,1,2.0,1.0,Dead,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,1,0,5,5,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,Govt Doc/Nurse 1,Other Town,Pvt Doc/Nurse 3,Other Town,Antibiotic 2,0.0,4000.0,No 0,1000.0,500.0,,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,168.0,168.0,Standing 2,56.20000076294,56.20000076294,Yes 1,0,2,largest six metro areas,Chennai 4,441.69000244141,880.0,0.5735537409782,5.0,Yes 1,Yes 1,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,150388.0,30077.5996094,14.0,13.0,,,0.0,0.0,,0.0,78000.0,0.0,,78000.0,15600.0,none 0,none 0,AGRI LABOUR,Ag labour 63,Agriculture 0,170.0,6.800000190735,8.0,1360.0,Per Day 1,150.0,25500.0,25500.0,18.75,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,30.0,170.0,1360.0,25500.0,parttime 3,,,,none 0,,,,none 0,,,,none 0,170.0,1360.0,parttime 3,52500.0,39.0,34.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,78000.0,0.0,0.0,0.0,0,5.0,0.0,5.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.9957723770510823,10.31156922144147,9.655026193237628,Agricultural,1.0,0.0,0.0,0.0,0.0,5500.0,5500.0,3.6572066920233,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tamil Nadu,1.0,0.5,0.75,0.21805555555555556
