SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_score,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state,SOC_gender_score,SOC_caste_score,SOCIAL_VULNERABILITY_IDX
IHDS-II 2,Arunachal Pradesh 12,0,1,30,1,4.0,120401,1204010301,120401030104,2042.83133925,2043.0,0.0,Arunachal,1,3,12.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,7,8,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,1,1,Private 4,4.0,7th class 7,,English 11,2nd class 2,70.0,0.0,0.0,0.0,,,,,,No 0,No 0,No 0,0.0,30000.0,15000.0,10000.0,0.0,,,,,,,,,,,,,,,,,,,,,,8.0,1,1,1,0,-1,-1,-1,12.0,1,1,3,,,Pain killer/Cough syrup 1,,0.0,1,5000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,150.30000305176,150.30000305176,Standing 2,39.09999847413,39.09999847413,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,4.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,369440.0,92360.0,26.0,24.0,,,0.0,0.0,,100000.0,480000.0,0.0,,580000.0,145000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,580000.0,48.0,45.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,480000.0,0.0,0.0,1,15.0,15.0,15.0,,,,,,,,,No 0,,,No 0,,,0.5866666666666667,0.0,0.0,0.1955555555555555,0.264,2.471014013697994,11.433460090607738,11.884489021402713,Inactive,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,1.3533997401472495,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0833333333333333,Arunachal Pradesh,0.0,0.5,0.25
IHDS-II 2,Arunachal Pradesh 12,0,1,40,1,1.0,120401,1204010401,120401040101,2042.83133925,2043.0,0.0,Arunachal,1,1,45.0,1,8,2.0,Dead,Dead,1,1,60.0,4.0,240.0,3,1,1,1,2,1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.0,100.0,10.0,2,1.0,2.0,1,1,1,0,15,15,0,0,II,1,1,1,2,II,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.0,1,Govt Doc/Nurse in Pvt 2,This village or Neighbourhood,,,Other Allopathic 3,0.0,0.0,,20000.0,0.0,0.0,0,0,0,0,0,0,0,4,3,1,1,,,180.10000610352,180.10000610352,Standing 2,60.09999847413,60.09999847413,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,5.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,194840.0,38968.0,25.0,23.0,25200.0,0.0,-1900.0,23300.0,,0.0,432000.0,0.0,,455300.0,91060.0,parttime 3,none 0,A PRADESH POLICE  DEPORTMENT,Police 57,Public admin 90,365.0,12.0,8.0,2920.0,Per Month 2,36000.0,432000.0,432000.0,147.9452056885,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Govt/PSU 1,90.0,,,,none 0,,,,none 0,365.0,2920.0,432000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,3160.0,ft yr 4,10700.0,45.0,38.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,432000.0,0.0,0.0,0,15.0,15.0,10.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.916735159729141,10.57052173723882,11.419273908888773,Salaried,0.0,0.0,0.0,1.0,0.0,20000.0,20000.0,10.264832683227263,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Arunachal Pradesh,0.0,0.5,0.25
IHDS-II 2,Arunachal Pradesh 12,0,1,90,1,3.0,120401,1204010901,120401090103,2042.83133925,2043.0,0.0,Arunachal,1,3,23.0,2,12,,1.0,2.0,1,0,,,,0,0,1,0,0,0,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,10,10,0,1,III,1,1,0,-1,.d,0,-1,-1,1,1,1,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,4.0,Secondary 10,,English 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1,1,0,-1,-1,-1,6.0,1,1,3,,,Pain killer/Cough syrup 1,0.0,0.0,1,3600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,7.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,202176.0,28882.2851563,19.0,18.0,20600.0,0.0,-1300.0,19300.0,,50000.0,2400.0,0.0,,71700.0,10242.8574219,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,71700.0,49.0,40.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2400.0,0.0,0.0,2400.0,0.0,0,10.0,10.0,10.0,,,,,,,,,No 0,,,No 0,,,0.48,0.0,0.0,0.16,0.216,1.3846233601589282,10.271018338486948,9.234335904775076,Inactive,0.0,0.0,0.0,0.0,3600.0,0.0,3600.0,1.7806267806267806,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0833333333333333,Arunachal Pradesh,0.0,0.5,0.25
IHDS-II 2,Arunachal Pradesh 12,0,1,100,1,2.0,120401,1204011001,120401100102,2042.83133925,2043.0,0.0,Arunachal,2,2,42.0,1,11,1.0,,,1,1,40.0,3.0,120.0,2,0,1,1,2,1,1,1,1,300.0,8.0,0,0,-1.0,,,-1.0,0,-1.0,,,300.0,2400.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1,0,0,-1,-1,-1,9.0,1,1,3,,,Pain killer/Cough syrup 1,0.0,0.0,1,3000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,160.30000305176,160.30000305176,Standing 2,58.29999923707,58.29999923707,Yes 1,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,6.0,Yes 1,Yes 1,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,60000.0,,,196400.0,32733.3339844,20.0,19.0,6100.0,8000.0,2700.0,16800.0,60000.0,0.0,,0.0,,76800.0,12800.0,parttime 3,ft yr 4,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,340.0,2520.0,ft yr 4,44185.714844,45.0,42.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,16.0,10.0,16.0,,,,,,,,,No 0,,,No 0,,,0.5266666666666666,0.0,0.0,0.1755555555555555,0.237,1.7906262394849923,10.396179774995389,9.457200449907708,Inactive,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,1.5274949083503055,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0833333333333333,Arunachal Pradesh,1.0,0.5,0.75
IHDS-II 2,Arunachal Pradesh 12,0,1,110,1,3.0,120401,1204011101,120401110103,2042.83133925,2043.0,0.0,Arunachal,1,3,12.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,2,1,1,5,5,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,1,1,Private 4,2.0,6th class 6,,English 11,none 0,30.0,14.0,5.0,0.0,,,,,,No 0,Yes 1,No 0,0.0,15000.0,10000.0,20000.0,5000.0,,,,,,,,,,,,,,,,,,,,,,2.0,1,1,0,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,110.19999694825,110.19999694825,Standing 2,20.29999923707,20.29999923707,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,5.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,295574.0,59114.8007813,20.0,19.0,,,0.0,0.0,,0.0,276000.0,0.0,,276000.0,55200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,276000.0,38.0,32.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,276000.0,0.0,0.0,0,15.0,15.0,10.0,,,,,,,,,No 0,,,No 0,,,0.4266666666666667,0.0,0.0,0.1422222222222222,0.192,1.0345091454308173,10.987253524366338,10.918718232265189,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Arunachal Pradesh,0.0,0.5,0.25
IHDS-II 2,Arunachal Pradesh 12,0,1,120,1,3.0,120401,1204011201,120401120103,2042.83133925,2043.0,0.0,Arunachal,1,3,10.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,1,1,1,5,5,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,1,1,Private 4,5.0,5th class 5,,English 11,none 0,65.0,0.0,0.0,0.0,,,,,,No 0,No 0,No 0,0.0,50000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,1,1,0,1,0,2,1,6.0,1,1,3,,,Pain killer/Cough syrup 1,,0.0,1,3000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,140.39999389649,140.39999389649,Standing 2,38.20000076294,38.20000076294,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,3.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,117720.0,39240.0,19.0,17.0,,,0.0,0.0,,0.0,300000.0,0.0,,300000.0,100000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,300000.0,34.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,300000.0,0.0,0.0,0,15.0,15.0,12.0,,,,,,,,,No 0,,,No 0,,,0.48,0.0,0.0,0.16,0.216,1.3846233601589282,10.57747739755438,11.512925464970229,Inactive,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,2.54841997961264,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0833333333333333,Arunachal Pradesh,0.0,0.5,0.25
IHDS-II 2,Arunachal Pradesh 12,0,1,140,1,3.0,120401,1204011401,120401140103,2042.83133925,2043.0,0.0,Arunachal,2,3,12.0,2,12,,1.0,2.0,0,-1,,,,0,-1,1,1,1,0,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,0,none 0,1,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,1.0,3rd class 3,,English 11,none 0,5.0,12.0,0.0,0.0,,,,,,No 0,Yes 1,Yes 1,0.0,100.0,500.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,1,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,130.0,130.0,Standing 2,29.29999923707,29.29999923707,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,4.0,No 0,No 0,Muslim 2,Others 6,Muslim 6,,,,71685.0,17921.25,11.0,11.0,,,4400.0,4400.0,,0.0,75400.0,0.0,,79800.0,19950.0,<240hrs 2,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,77600.0,45.0,35.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,75400.0,0.0,0.0,0.0,75400.0,0,6.0,5.0,6.0,,,,,,,,,No 0,,,No 0,,,0.24,0.0,0.0,0.08,0.108,0.9724266818891404,9.793798236682886,9.90098442231801,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Arunachal Pradesh,1.0,0.5,0.75
IHDS-II 2,Arunachal Pradesh 12,0,1,140,1,4.0,120401,1204011401,120401140104,2042.83133925,2043.0,0.0,Arunachal,1,3,10.0,2,12,,1.0,2.0,0,-1,,,,0,-1,1,0,0,0,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,0,none 0,1,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,"Yes, currently 1",4.0,1,1,Hindi 1,3,English 11,2,English 11,2,1,1,Government 2,1.0,4th class 4,,English 11,none 0,5.0,12.0,0.0,0.0,,,,,,No 0,Yes 1,Yes 1,0.0,100.0,500.0,0.0,0.0,"Yes, currently 2",6.0,Close to home 2,Siblings 4,No 0,Sometimes 2,Female 2,Yes 1,Rarely/Never 1,Excellent 1,Rarely/Never 1,No 0,No 0,,Better than average 3,Always 4,0.0,Yes 1,No 0,No 0,1.0,2.0,1,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,2.0,100.19999694825,100.19999694825,Standing 2,18.20000076294,18.20000076294,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,4.0,No 0,No 0,Muslim 2,Others 6,Muslim 6,,,,71685.0,17921.25,11.0,11.0,,,4400.0,4400.0,,0.0,75400.0,0.0,,79800.0,19950.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,79800.0,45.0,35.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,75400.0,0.0,0.0,0.0,75400.0,0,6.0,5.0,6.0,,,,,,,,,No 0,,,No 0,,,0.2266666666666666,0.0,0.0,0.0755555555555555,0.102,0.9664234485878692,9.793798236682886,9.90098442231801,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Arunachal Pradesh,0.0,0.5,0.25
IHDS-II 2,Arunachal Pradesh 12,0,1,160,1,3.0,120401,1204011601,120401160103,2042.83133925,2043.0,0.0,Arunachal,1,3,24.0,2,6,,Dead,1.0,1,0,,,,0,0,0,-1,-1,-1,1,1,1,360.0,6.0,0,0,-1.0,,,-1.0,0,-1.0,,,360.0,2160.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,10,10,0,0,II,9,-1,-1,-1,.d,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1,1,1,0,2,1,10.0,1,1,3,,,Pain killer/Cough syrup 1,0.0,0.0,1,6000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,2.0,160.30000305176,160.30000305176,Standing 2,50.29999923707,50.29999923707,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,5.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,90000.0,,,143240.0,28648.0,21.0,20.0,,30000.0,0.0,30000.0,90000.0,30000.0,72000.0,0.0,,222000.0,44400.0,none 0,ft yr 4,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,360.0,2160.0,ft yr 4,183428.5625,,45.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,72000.0,0.0,0.0,0,13.0,10.0,13.0,,,,,,,,,No 0,,,No 0,,,0.5466666666666666,0.0,0.0,0.1822222222222222,0.246,2.0650089265293903,10.262873817519765,10.700994748420316,Self-employed,0.0,0.0,1.0,0.0,6000.0,0.0,6000.0,4.188774085450992,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0833333333333333,Arunachal Pradesh,0.0,0.5,0.25
IHDS-II 2,Arunachal Pradesh 12,0,1,170,1,3.0,120401,1204011701,120401170103,2042.83133925,2043.0,0.0,Arunachal,1,3,27.0,1,1,4.0,1.0,2.0,1,0,,,,0,0,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,12,12,0,0,II,1,1,1,1,.d,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.0,1,Pvt Doc/Nurse 3,Other Town,,,Other Allopathic 3,6.0,200.0,Yes 1,40000.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,3.0,150.19999694825,150.19999694825,Standing 2,42.09999847413,42.09999847413,No 0,0,2,non-metro,,547.14001464844,1010.0,0.5133135914803,5.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,162876.0,32575.1992188,23.0,21.0,,25000.0,0.0,25000.0,,0.0,204000.0,0.0,,229000.0,45800.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,229000.0,50.0,46.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,204000.0,0.0,0.0,1,12.0,12.0,10.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.916735159729141,10.391337215399844,10.732039370102276,Agricultural,1.0,0.0,0.0,0.0,0.0,40200.0,40200.0,24.68135268547853,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Arunachal Pradesh,0.0,0.5,0.25
