SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_score,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state,SOC_gender_score,SOC_caste_score,SOCIAL_VULNERABILITY_IDX
IHDS-II 2,Chandigarh 04,0,1,10,9,2.0,40401,404010109,40401010902,3916.37868853,3916.0,0.0,Chandigarh,2,2,41.0,1,11,1.0,,,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,2,1,0,16,16,0,0,II,1,3,1,5,II,1,1,1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1,0,0,-1,-1,-1,0.0,1,3,5,,,Other Allopathic 3,0.0,250.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,158.39999389649,158.39999389649,Standing 2,66.5,66.5,Yes 1,1,1,non-metro,,642.51000976563,1155.0,0.5463414788246,5.0,Yes 1,Yes 1,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,316908.0,63381.6015625,29.0,28.0,,,0.0,0.0,,0.0,270300.0,0.0,,270300.0,54060.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,270300.0,43.0,41.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,270300.0,0.0,0.0,1,16,16.0,16.0,,,,,,,,,No 0,,,No 0,,,0.4533333333333333,0.0,0.0,0.1511111111111111,0.204,1.542694042954707,11.056944679459937,10.89784981983044,Inactive,0.0,0.0,0.0,0.0,250.0,0.0,250.0,0.0788872480341297,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.25,Chandigarh,1.0,0.0,0.5
IHDS-II 2,Chandigarh 04,0,1,20,9,1.0,40401,404010209,40401020901,3916.37868853,3916.0,0.0,Chandigarh,1,1,77.0,1,10,2.0,Dead,Dead,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,2,1,0,16,16,0,0,I,1,3,1,2,.d,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1,0,0,-1,-1,-1,2.0,1,3,5,,,Other Allopathic 3,0.0,500.0,0,100.0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,168.19999694825,168.19999694825,Standing 2,58.79999923707,58.70000076294,No 0,1,1,non-metro,,642.51000976563,1233.0,0.5463414788246,2.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,145438.0,72719.0,27.0,26.0,,,0.0,0.0,,250000.0,,0.0,,250000.0,125000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,250000.0,77.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,16.0,15.0,,,,,,,,,No 0,,,No 0,,,0.44,0.0,0.0,0.1466666666666667,0.198,1.389093009224203,11.19437172885136,11.736069016284436,Inactive,0.0,0.0,0.0,0.0,650.0,0.0,650.0,0.4469258378140513,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.25,Chandigarh,0.0,0.5,0.25
IHDS-II 2,Chandigarh 04,0,1,20,9,2.0,40401,404010209,40401020902,3916.37868853,3916.0,0.0,Chandigarh,2,2,72.0,1,11,1.0,Dead,Dead,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,2,1,0,15,15,0,0,I,1,1,1,2,.d,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.0,1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,5000.0,No 0,200.0,100.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,152.30000305176,152.30000305176,Standing 2,47.29999923707,47.20000076294,No 0,1,1,non-metro,,642.51000976563,1233.0,0.5463414788246,2.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,145438.0,72719.0,27.0,26.0,,,0.0,0.0,,250000.0,,0.0,,250000.0,125000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,250000.0,77.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,16.0,15.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.6354427947755682,11.19437172885136,11.736069016284436,Inactive,0.0,0.0,0.0,0.0,0.0,5300.0,5300.0,3.644164523714573,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandigarh,1.0,0.5,0.75
IHDS-II 2,Chandigarh 04,0,1,30,9,1.0,40401,404010309,40401030901,3916.37868853,3916.0,0.0,Chandigarh,1,1,42.0,1,8,2.0,IF Spouse/Parent outside for more than 6 months,IF Spouse/Parent outside for more than 6 months,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,1,1,0,13,12,0,0,II,1,1,1,1,.d,1,1,1,1,1,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,1000.0,Yes 1,500.0,100.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,172.80000305176,172.80000305176,Standing 2,76.80000305176,76.80000305176,No 0,1,1,non-metro,,642.51000976563,1233.0,0.5463414788246,3.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,297220.0,99073.3359375,28.0,28.0,,,0.0,0.0,,0.0,182000.0,0.0,30000.0,212000.0,70666.6640625,none 0,none 0,GUEST HOUSE MAIN MAINEJAR HAI,Mgr finance 23,Renting 85,365.0,12.0,8.0,2920.0,Per Month 2,15000.0,180000.0,182000.0,62.3287658692,No,No 0,No 0,0.0,0.0,2000.0,Regular/Permanent/Longer contract,Private employer 3,10.0,,,,none 0,,,,none 0,365.0,2920.0,182000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2920.0,ft yr 4,30000.0,42.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182000.0,0.0,0.0,2,15,13.0,15.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.6354427947755682,11.503625715411898,11.165729228134625,Salaried,0.0,0.0,0.0,1.0,0.0,1600.0,1600.0,0.5383217818450979,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandigarh,0.0,0.0,0.0
IHDS-II 2,Chandigarh 04,0,1,40,1,3.0,40401,404010401,40401040103,3916.37868853,3916.0,0.0,Chandigarh,2,3,7.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,1,1,1,2,3,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,1,1,Private 4,5.0,2nd class 2,,English 11,none 0,36.0,6.0,,2.0,,,,,,No 0,No 0,No 0,0.0,12000.0,4000.0,3000.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,1,1,0,0,-1,-1,-1,2.0,1,3,5,,,Other Allopathic 3,0.0,500.0,0,50.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,110.80000305176,110.80000305176,Standing 2,18.39999961854,18.29999923707,No 0,1,1,non-metro,,642.51000976563,1233.0,0.5463414788246,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,182361.0,45590.25,26.0,25.0,,,0.0,0.0,,0.0,217000.0,0.0,,217000.0,54250.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,217000.0,36.0,29.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,217000.0,0.0,0.0,0,12,12.0,10.0,,,,,,,,,No 0,,,No 0,,,0.44,0.0,0.0,0.1466666666666667,0.198,1.389093009224203,10.727471091125098,10.901358271402708,Inactive,0.0,0.0,0.0,0.0,560.0,0.0,560.0,0.3070832030971535,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.25,Chandigarh,1.0,0.0,0.5
IHDS-II 2,Chandigarh 04,0,1,40,1,4.0,40401,404010401,40401040104,3916.37868853,3916.0,0.0,Chandigarh,1,3,2.0,2,14,,1.0,2.0,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1,0,0,-1,-1,-1,3.0,1,3,5,,,Other Allopathic 3,0.0,500.0,0,50.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,2.0,96.40000152588,96.40000152588,Standing 2,12.10000038147,12.10000038147,No 0,1,1,non-metro,,642.51000976563,1233.0,0.5463414788246,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,182361.0,45590.25,26.0,25.0,,,0.0,0.0,,0.0,217000.0,0.0,,217000.0,54250.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,217000.0,36.0,29.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,217000.0,0.0,0.0,0,12,12.0,10.0,,,,,,,,,No 0,,,No 0,,,0.46,0.0,0.0,0.1533333333333333,0.207,1.6557850167049508,10.727471091125098,10.901358271402708,Inactive,0.0,0.0,0.0,0.0,560.0,0.0,560.0,0.3070832030971535,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.25,Chandigarh,0.0,0.0,0.0
IHDS-II 2,Chandigarh 04,0,1,50,9,3.0,40401,404010509,40401050903,3916.37868853,3916.0,0.0,Chandigarh,1,3,5.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,1,1,1,0,none 0,1,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,1,1,Private 4,1.0,1st class 1,,English 11,none 0,36.0,14.0,0.0,0.0,,,,,,No 0,No 0,No 0,0.0,20000.0,3500.0,5000.0,0.0,,,,,,,,,,,,,,,,,,,,,,4.0,1,1,0,0,-1,-1,-1,0.0,1,3,2,,,Other Allopathic 3,0.0,250.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,110.59999847413,110.59999847413,Standing 2,16.70000076294,16.70000076294,No 0,1,1,non-metro,,642.51000976563,1155.0,0.5463414788246,4.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,232732.0,58183.0,27.0,26.0,,,0.0,0.0,,144000.0,120000.0,0.0,,264000.0,66000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,264000.0,44.0,42.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120000.0,0.0,0.0,0,15,15.0,15.0,,,,,,,,,No 0,,,No 0,,,0.4533333333333333,0.0,0.0,0.1511111111111111,0.204,1.542694042954707,10.971365681834376,11.097410021008562,Inactive,0.0,0.0,0.0,0.0,250.0,0.0,250.0,0.1074196930374851,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Chandigarh,0.0,0.0,0.0
IHDS-II 2,Chandigarh 04,0,1,50,9,4.0,40401,404010509,40401050904,3916.37868853,3916.0,0.0,Chandigarh,1,6,72.0,3,10,Dead,Dead,,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,1,1,0,10,10,0,0,II,9,-1,-1,-1,.d,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,6000.0,Yes 1,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,1,1,non-metro,,642.51000976563,1155.0,0.5463414788246,4.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,232732.0,58183.0,27.0,26.0,,,0.0,0.0,,144000.0,120000.0,0.0,,264000.0,66000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,264000.0,44.0,42.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120000.0,0.0,0.0,0,15,15.0,15.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.6354427947755682,10.971365681834376,11.097410021008562,Inactive,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,2.578072632899644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandigarh,0.0,0.0,0.0
IHDS-II 2,Chandigarh 04,0,1,60,9,1.0,40401,404010609,40401060901,3916.37868853,3916.0,0.0,Chandigarh,1,1,85.0,0,10,50.0,Dead,Dead,1,0,,,,0,0,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,1,1,0,15,15,0,0,I,1,1,1,2,I,0,-1,-1,1,1,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30.0,1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,9.0,310000.0,Yes 1,0.0,2000.0,0.0,1,0,0,0,0,0,0,-1,-1,-1,-1,,,179.0,179.0,Standing 2,71.19999694825,71.19999694825,No 0,1,1,non-metro,,642.51000976563,1155.0,0.5463414788246,1.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,602280.0,602280.0,30.0,28.0,,250000.0,0.0,250000.0,,335000.0,,0.0,80000.0,665000.0,665000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,665000.0,85.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15,15.0,,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0833333333333333,0.0648148148148148,0.0611111111111111,0.6354427947755682,13.30847939279291,13.407542319637992,Inactive,0.0,0.0,0.0,0.0,0.0,312000.0,312000.0,51.80314803745766,1.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Chandigarh,0.0,0.0,0.0
IHDS-II 2,Chandigarh 04,0,1,70,1,1.0,40401,404010701,40401070101,3916.37868853,3916.0,0.0,Chandigarh,2,1,69.0,3,11,Dead,,,0,-1,,,,0,-1,0,-1.0,-1.0,-1.0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1.0,,,1,0,1,0,12,12,0,0,II,1,1,0,-1,.d,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,1,Pvt Doc/Nurse 3,Other Town,,,Other Allopathic 3,0.0,80000.0,No 0,3000.0,12000.0,0.0,1,0,0,0,0,2,2,-1,-1,-1,-1,,,157.30000305176,157.30000305176,Standing 2,64.30000305176,64.30000305176,No 0,1,1,non-metro,,642.51000976563,1155.0,0.5463414788246,1.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,188242.0,188242.0,23.0,22.0,,,0.0,0.0,,252000.0,,0.0,,252000.0,252000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,252000.0,,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,,12.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.4166666666666667,0.1759259259259259,0.0611111111111111,0.6354427947755682,12.145488960375822,12.43718436649356,Inactive,0.0,0.0,0.0,0.0,0.0,95000.0,95000.0,50.46695211483091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Chandigarh,1.0,0.0,0.5
