SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_score,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state,SOC_gender_score,SOC_caste_score,SOCIAL_VULNERABILITY_IDX
IHDS-II 2,Manipur 14,0,1,20,1,1.0,140601,1406010201,140601020101,6677.83052429,6678.0,0.0,Manipur,1,1,57.0,1,1,2.0,Dead,Dead,1,1,35.0,6.0,210.0,2,1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.0,120.0,120.0,-1,1.0,2.0,1,1,1,0,10,10,0,0,II,1,1,0,-1,.d,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,7.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,226900.0,32414.2851563,19.0,18.0,35850.0,0.0,0.0,35850.0,,0.0,161280.0,0.0,,197130.0,28161.4277344,none 0,none 0,NAREGA,Construction 95,Construction 50,60.0,2.400000095367,8.0,480.0,Per Day 1,144.0,8640.0,8640.0,18.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,20.0,,,,none 0,60.0,480.0,8640.0,parttime 3,,,,none 0,60.0,480.0,8640.0,parttime 3,95.0,690.0,parttime 3,168142.703125,57.0,52.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,17280.0,0.0,144000.0,17280.0,0.0,0,15,10.0,15,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.543699602504001,10.386385354618064,10.245708509782192,Agricultural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Manipur,0.0,0.0,0.0
IHDS-II 2,Manipur 14,0,1,20,1,2.0,140601,1406010201,140601020102,6677.83052429,6678.0,0.0,Manipur,2,2,52.0,1,11,1.0,IF Spouse/Parent outside for more than 6 months,IF Spouse/Parent outside for more than 6 months,1,0,,,,0,0,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.0,120.0,120.0,-1,1.0,2.0,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,15.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,162.0,162.0,Standing 2,68.30000305176,68.30000305176,Yes 1,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,7.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,226900.0,32414.2851563,19.0,18.0,35850.0,0.0,0.0,35850.0,,0.0,161280.0,0.0,,197130.0,28161.4277344,none 0,none 0,NAREGA,Construction 95,Construction 50,60.0,2.400000095367,8.0,480.0,Per Day 1,144.0,8640.0,8640.0,18.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,20.0,,,,none 0,60.0,480.0,8640.0,parttime 3,,,,none 0,60.0,480.0,8640.0,parttime 3,60.0,480.0,parttime 3,188490.0,57.0,52.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,17280.0,0.0,144000.0,17280.0,0.0,0,15,10.0,15,,,,,,,,,No 0,,,No 0,,,0.0,0.2222222222222222,0.0,0.074074074074074,0.1222222222222222,1.7097177040968243,10.386385354618064,10.245708509782192,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Manipur,1.0,0.0,0.5
IHDS-II 2,Manipur 14,0,1,20,1,5.0,140601,1406010201,140601020105,6677.83052429,6678.0,0.0,Manipur,2,5,1.0,2,14,,3.0,4.0,1,0,,,,0,0,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,1,0,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,7.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,226900.0,32414.2851563,19.0,18.0,35850.0,0.0,0.0,35850.0,,0.0,161280.0,0.0,,197130.0,28161.4277344,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,197130.0,57.0,52.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,17280.0,0.0,144000.0,17280.0,0.0,0,15,10.0,15,,,,,,,,,No 0,,,No 0,,,0.2533333333333333,0.0,0.0,0.0844444444444444,0.114,1.6358494397765595,10.386385354618064,10.245708509782192,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Manipur,1.0,0.0,0.5
IHDS-II 2,Manipur 14,0,1,40,1,5.0,140601,1406010401,140601040105,6677.83052429,6678.0,0.0,Manipur,1,3,0.0,2,14,,1.0,2.0,1,0,,,,0,0,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0,1,0,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,3.0,45.0,45.0,Standing 2,5.5,5.5,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,5.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,148304.0,29660.8007813,13.0,13.0,21200.0,0.0,0.0,21200.0,,0.0,62280.0,0.0,,83480.0,16696.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,83480.0,34.0,30.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,62280.0,0.0,0.0,17280.0,45000.0,0,8,8.0,6,,,,,,,,,No 0,,,No 0,,,0.28,0.0,0.0,0.0933333333333333,0.126,1.7943014126139891,10.29761532798578,9.722924448757036,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Manipur,0.0,0.0,0.0
IHDS-II 2,Manipur 14,0,1,50,1,4.0,140601,1406010501,140601050104,6677.83052429,6678.0,0.0,Manipur,2,3,10.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,1,1,1,2,3,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,"Yes, currently 1",2.0,1,1,English 11,1,English 11,1,,-1,1,1,Government 2,1.0,3rd class 3,,English 11,none 0,32.0,6.0,0.0,3.0,,,,,,Yes 1,Yes 1,Yes 1,0.0,0.0,0.0,0.0,0.0,"Yes, currently 2",5.0,Close to home 2,English medium 5,No 0,Rarely/Never 1,Male 1,Yes 1,Rarely/Never 1,Good 2,Rarely/Never 1,Yes 1,Yes 1,2.0,Average 2,Usually 3,0.0,No 0,No 0,No 0,1.0,6.0,1,0,-1,0,-1.0,-1.0,-1.0,3.0,1,1,3,,,,0.0,250.0,1,220.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,2.0,102.0,102.0,Standing 2,30.5,30.5,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,5.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,156640.0,31328.0,13.0,13.0,,,0.0,0.0,,0.0,109500.0,0.0,,109500.0,21900.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,109500.0,39.0,31.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,109500.0,0.0,0.0,0.0,109500.0,0,5,5.0,5,,,,,,,,,No 0,,,No 0,,,0.3,0.0,0.0,0.1,0.135,1.8490605884163007,10.352299465147658,9.994241915804592,Inactive,0.0,0.0,0.0,0.0,470.0,0.0,470.0,0.3000510725229826,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0833333333333333,Manipur,1.0,0.0,0.5
IHDS-II 2,Manipur 14,0,1,60,1,1.0,140601,1406010601,140601060101,6677.83052429,6678.0,0.0,Manipur,1,1,75.0,1,1,2.0,,,1,1,80.0,4.0,320.0,3,1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,1,1500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,9,8,0,1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0.0,1,Govt Doc/Nurse in Pvt 2,District Town,,,Surgery 7,,250000.0,Yes 1,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,160.0,160.0,Standing 2,54.0,54.0,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,6.0,No 0,No 0,Others 8,Forward/General (except Brahmin) 2,Forward caste 2,,,,131660.0,21943.3339844,12.0,12.0,22725.0,0.0,0.0,22725.0,,0.0,64400.0,1500.0,,88625.0,14770.8330078,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,80.0,320.0,parttime 3,78161.6875,75.0,71.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,64400.0,0.0,0.0,14400.0,50000.0,0,12,12.0,12,,,,,,,,,No 0,,,No 0,,,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1833333333333333,1.9608540580355005,9.996264252352146,9.600409772567446,Agricultural,1.0,0.0,0.0,0.0,0.0,250000.0,250000.0,189.8830320522558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Manipur,0.0,0.0,0.0
IHDS-II 2,Manipur 14,0,1,70,1,1.0,140601,1406010701,140601070101,6677.83052429,6678.0,0.0,Manipur,1,1,66.0,1,1,2.0,,,1,1,30.0,5.0,150.0,2,1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.0,100.0,100.0,-1,1.0,2.0,1,1,1,0,9,8,0,1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,,,,,,,0.0,,0.0,0.0,0.0,1,0,0,1,0,2,0,-1,-1,-1,-1,,,,,,,,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,6.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,155030.0,25838.3339844,15.0,15.0,36450.0,0.0,0.0,36450.0,,0.0,134400.0,0.0,,170850.0,28475.0,none 0,none 0,NAREGA,Construction 95,Construction 50,50.0,2.0,8.0,400.0,Per Day 1,144.0,7200.0,7200.0,18.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,20.0,,,,none 0,50.0,400.0,7200.0,parttime 3,,,,none 0,50.0,400.0,7200.0,parttime 3,80.0,550.0,parttime 3,145302.6875,66.0,64.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,14400.0,0.0,120000.0,14400.0,0.0,0,12,12.0,10,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.3333333333333333,0.1481481481481481,0.0611111111111111,1.543699602504001,10.159653182966844,10.256781788315385,Agricultural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Manipur,0.0,0.0,0.0
IHDS-II 2,Manipur 14,0,1,100,1,1.0,140601,1406011001,140601100101,6677.83052429,6678.0,0.0,Manipur,1,1,47.0,1,9,2.0,,,1,1,130.0,6.0,780.0,3,1,1,1,2,1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.0,140.0,140.0,-1,1.0,2.0,1,1,1,0,8,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,162.0,162.0,Standing 2,73.0,73.0,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,6.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,133240.0,22206.6660156,13.0,13.0,52225.0,0.0,26500.0,78725.0,,0.0,20160.0,0.0,,98885.0,16480.8339844,parttime 3,none 0,MGNREGA,Construction 95,Construction 50,70.0,2.799999952316,8.0,560.0,Per Day 1,144.0,10080.0,10080.0,18.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,20.0,,,,none 0,70.0,560.0,10080.0,parttime 3,,,,none 0,70.0,560.0,10080.0,parttime 3,200.0,1340.0,parttime 3,56475.238281,47.0,45.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,20160.0,0.0,0.0,20160.0,0.0,0,8,8.0,0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.543699602504001,10.008192824270534,9.709953408032543,Salaried,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Manipur,0.0,0.0,0.0
IHDS-II 2,Manipur 14,0,1,170,1,4.0,140601,1406011701,140601170104,6677.83052429,6678.0,0.0,Manipur,2,3,22.0,2,11,,1.0,2.0,1,0,,,,0,0,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,6,8,0,1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,200.0,1,Govt Doc/Nurse in Pvt 2,Other Town,,,Other Allopathic 3,0.0,20000.0,Yes 1,19000.0,1000.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,0,3,non-metro,,578.10998535157,1185.0,0.4920634925365,5.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,143420.0,28684.0,9.0,9.0,10150.0,0.0,0.0,10150.0,,0.0,100000.0,0.0,,110150.0,22030.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,110150.0,56.0,42.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100000.0,0.0,0.0,0.0,100000.0,0,8,8.0,8,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.543699602504001,10.264129617035971,10.000160439796389,Inactive,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,27.89011295495747,1.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Manipur,1.0,0.0,0.5
IHDS-II 2,Manipur 14,0,2,30,1,2.0,140602,1406020301,140602030102,3746.5,3747.0,0.0,Manipur,2,2,51.0,1,11,1.0,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1.0,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,2,1,0,15,15,0,0,II,1,3,1,2,II,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1.0,-1.0,-1.0,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,30.0,1,Govt Doc/Nurse 1,District Town,Pvt Doc/Nurse 3,District Town,Other Allopathic 3,0.0,15000.0,Yes 1,12000.0,400.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,147.0,147.0,Standing 2,50.0,50.0,Yes 1,1,1,non-metro,,641.13000488282,1256.0,0.5767195820808,3.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,170236.0,56745.3320313,18.0,17.0,,,0.0,0.0,,0.0,144000.0,0.0,,144000.0,48000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,144000.0,50.0,51.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,144000.0,0.0,0.0,0,15,10.0,15,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.543699602504001,10.946346299445104,10.778956289890028,Inactive,0.0,0.0,0.0,0.0,0.0,27400.0,27400.0,16.095302991141708,1.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Manipur,1.0,0.0,0.5
