SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_score,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state,SOC_gender_score,SOC_caste_score,SOCIAL_VULNERABILITY_IDX
IHDS-II 2,Tripura 16,0,1,10,2,3.0,160101,1601010102,160101010203,5195.08695652,5195.0,0.0,Tripura,1,3,5.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,1,1,0,,,0,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,1,1,0,none 0,1,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,1.0,none 0,,Bangla 3,none 0,,,,,,,,,,No 0,No 0,No 0,0.0,100.0,300.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20.0,1,Govt Doc/Nurse in Pvt 2,District Town,,,Others 8,0.0,200.0,No 0,300.0,200.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,115.0,115.0,Standing 2,16.60000038147,16.0,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,60000.0,,,78829.0,19707.25,17.0,16.0,,,0.0,0.0,60000.0,0.0,18660.0,0.0,,78660.0,19665.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,78660.0,29.0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4800.0,0.0,13860.0,4800.0,0.0,1,9,9.0,8.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.3695165430745024,9.888792608787377,9.88659568486591,Inactive,0.0,0.0,0.0,0.0,0.0,700.0,700.0,0.8879980717756155,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Tripura,0.0,0.5,0.25
IHDS-II 2,Tripura 16,0,1,10,2,4.0,160101,1601010102,160101010204,5195.08695652,5195.0,0.0,Tripura,2,6,52.0,0,4,50.0,,,0,-1,,,,0,-1,0,-1,-1,-1,1,1,0,,,0,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.0,100.0,40.0,2,4.0,,1,0,1,0,8,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,1,Govt Doc/Nurse 1,District Town,,,Others 8,0.0,0.0,,500.0,80.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,60000.0,,,78829.0,19707.25,17.0,16.0,,,0.0,0.0,60000.0,0.0,18660.0,0.0,,78660.0,19665.0,none 0,none 0,BIDI MAKING,Tobacco 78,Retail food 65,360.0,12.0,4.0,1520.0,Fixed 3,13860.0,13860.0,18660.0,10.828125,No,No 0,No 0,0.0,0.0,0.0,Casual piecework 2,Private firm 2,0.0,,,,none 0,40.0,240.0,4800.0,parttime 3,320.0,1280.0,13860.0,parttime 3,40.0,240.0,4800.0,parttime 3,360.0,1520.0,parttime 3,60000.0,29.0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4800.0,0.0,13860.0,4800.0,0.0,1,9,9.0,8.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.3695165430745024,9.888792608787377,9.88659568486591,Wage,0.0,1.0,0.0,0.0,0.0,580.0,580.0,0.7357698308997958,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tripura,1.0,0.5,0.75
IHDS-II 2,Tripura 16,0,1,70,1,1.0,160101,1601010701,160101070101,5195.08695652,5195.0,0.0,Tripura,1,1,46.0,1,6,2.0,Dead,Dead,0,-1,,,,0,-1,0,-1,-1,-1,1,1,0,,,1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,2.0,50.0,20.0,2,1.0,,1,0,1,0,9,8,0,1,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0,0,-1,1,0,1,1,3.0,1,2,2,,,Antibiotic 2,0.0,200.0,1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,90.0,1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,10000.0,Yes 1,0.0,300.0,0.0,0,0,0,0,0,0,0,4,1,4,1,,,155.0,155.0,Standing 2,47.0,47.0,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,3.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,40000.0,,,94218.0,31406.0,17.0,16.0,,,0.0,0.0,40000.0,0.0,2400.0,0.0,,42400.0,14133.3330078,none 0,missing hours 1,MGNREGA (CONSTRUCTION WARKER),Construction 95,Construction 50,20.0,0.800000011921,5.0,100.0,Per Day 1,120.0,2400.0,2400.0,24.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,20.0,,,,none 0,20.0,100.0,2400.0,<240hrs 2,,,,none 0,20.0,100.0,2400.0,<240hrs 2,20.0,100.0,<240hrs 2,40000.0,46.0,37.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2400.0,0.0,0.0,2400.0,0.0,0,9,9.0,6.0,,,,,,,,,No 0,,,No 0,,,0.06,0.1111111111111111,0.0,0.057037037037037,0.0881111111111111,1.4825512077110925,10.354786076987464,9.55629132951892,Self-employed,0.0,0.0,1.0,0.0,200.0,10300.0,10500.0,11.144367318346813,1.0,0.0,90.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,Tripura,0.0,0.0,0.0
IHDS-II 2,Tripura 16,0,1,80,1,2.0,160101,1601010801,160101080102,5195.08695652,5195.0,0.0,Tripura,2,3,37.0,2,4,,Dead,1.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,1,400.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20.0,1,Govt Doc/Nurse 1,District Town,,,Surgery 7,0.0,500.0,No 0,2500.0,200.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,2.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,33122.0,16561.0,8.0,8.0,,,0.0,0.0,,0.0,52943.0,400.0,,53343.0,26671.5,none 0,none 0,BIRI MAKER,Tobacco 78,Manf bev/tobacco 22,300.0,12.0,7.0,2100.0,Per Day 1,75.0,22500.0,22500.0,10.7142858505,No,No 0,No 0,0.0,0.0,0.0,Casual piecework 2,Private employer 3,0.0,,,,none 0,300.0,2100.0,22500.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,,,,none 0,300.0,2100.0,ft yr 4,30843.0,,55.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,52943.0,0.0,0.0,3068.0,49875.0,0,5,,5.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.3695165430745024,9.714866193593643,10.191350858564112,Wage,0.0,1.0,0.0,0.0,0.0,3200.0,3200.0,9.661252339834553,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Tripura,1.0,0.0,0.5
IHDS-II 2,Tripura 16,0,1,110,1,1.0,160101,1601011101,160101110101,5195.08695652,5195.0,0.0,Tripura,2,1,57.0,3,11,Dead,,,0,-1,,,,0,-1,0,-1,-1,-1,1,1,0,,,0,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,3,3,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1,Govt Doc/Nurse 1,This village or Neighbourhood,,,Antibiotic 2,0.0,0.0,,20000.0,2000.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,147.0,147.0,Standing 2,41.40000152588,41.40000152588,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,4000.0,,,161812.0,40453.0,18.0,17.0,,,0.0,0.0,4000.0,0.0,193800.0,0.0,,197800.0,49450.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,197800.0,,57.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,193800.0,0.0,0.0,0,16,16.0,3.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.3695165430745024,10.60792080511304,10.808717337050858,Inactive,0.0,0.0,0.0,0.0,0.0,22000.0,22000.0,13.596025016686031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Tripura,1.0,0.0,0.5
IHDS-II 2,Tripura 16,0,1,110,1,2.0,160101,1601011101,160101110102,5195.08695652,5195.0,0.0,Tripura,1,3,35.0,2,8,,Dead,1.0,0,-1,,,,0,-1,0,-1,-1,-1,1,1,1,,,1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,2,1,0,16,16,0,1,II,1,1,1,2,I,0,-1,-1,1,1,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,Govt Doc/Nurse 1,This village or Neighbourhood,,,Antibiotic 2,0.0,0.0,,3000.0,2000.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,4000.0,,,161812.0,40453.0,18.0,17.0,,,0.0,0.0,4000.0,0.0,193800.0,0.0,,197800.0,49450.0,none 0,missing hours 1,TEACHER HIGH SCHOOL,Teachers 15,Education 92,365.0,12.0,6.0,2190.0,Per Month 2,14000.0,168000.0,168000.0,76.7123260499,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Govt/PSU 1,60.0,,,,none 0,,,,none 0,365.0,2190.0,168000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2190.0,ft yr 4,29800.0,,57.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,193800.0,0.0,0.0,0,16,16.0,3.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.3695165430745024,10.60792080511304,10.808717337050858,Salaried,0.0,0.0,0.0,1.0,0.0,5000.0,5000.0,3.090005685610462,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tripura,0.0,0.0,0.0
IHDS-II 2,Tripura 16,0,1,120,1,5.0,160101,1601011201,160101120105,5195.08695652,5195.0,0.0,Tripura,2,6,56.0,3,11,Dead,,,0,-1,,,,0,-1,0,-1,-1,-1,1,1,0,,,0,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,6,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10.0,1,Govt Doc/Nurse 1,District Town,,,Antibiotic 2,3.0,200.0,No 0,1000.0,400.0,0.0,0,0,0,0,0,0,0,1,1,3,1,,,153.0,153.0,Standing 2,43.20000076294,43.0,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,5.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,32000.0,,,99124.0,19824.8007813,22.0,21.0,,,0.0,0.0,32000.0,33600.0,24000.0,0.0,,89600.0,17920.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,89600.0,30.0,26.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24000.0,0.0,0.0,0,12,9.0,12.0,,,,,,,,,No 0,,,No 0,,,0.0,0.2222222222222222,0.0,0.074074074074074,0.1222222222222222,1.654960378029399,9.894739438186663,9.793672686528922,Inactive,0.0,0.0,0.0,0.0,0.0,1600.0,1600.0,1.6141398652193213,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tripura,1.0,0.5,0.75
IHDS-II 2,Tripura 16,0,1,150,1,3.0,160101,1601011501,160101150103,5195.08695652,5195.0,0.0,Tripura,2,3,17.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,1,1,0,,,0,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,10,10,0,0,III,1,1,0,-1,.d,0,-1,-1,1,0,1,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,1.0,11th Class 11,Arts 1,Bangla 3,none 0,30.0,18.0,12.0,0.0,,,,,,No 0,No 0,No 0,500.0,50.0,2000.0,0.0,4000.0,,,,,,,,,,,,,,,,,,,,,,3.0,1,1,0,0,-1,-1,-1,0.0,1,1,2,,,Other Allopathic 3,0.0,50.0,0,200.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Govt Doc/Nurse in Pvt 2,Home,,,Homeopathy 5,0.0,0.0,,60.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,42700.0,,,66910.0,16727.5,18.0,17.0,,,0.0,0.0,42700.0,0.0,8260.0,5300.0,,56260.0,14065.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,56260.0,50.0,41.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8260.0,0.0,0.0,8260.0,0.0,0,5,5.0,5.0,,,,,,,,,No 0,,,No 0,,,0.44,0.1111111111111111,0.0,0.1837037037037037,0.2591111111111112,2.668592727829397,9.724869130666557,9.551444720923955,Inactive,0.0,0.0,0.0,0.0,250.0,60.0,310.0,0.463308922433119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Tripura,1.0,0.5,0.75
IHDS-II 2,Tripura 16,0,2,110,1,1.0,160102,1601021101,160102110101,5195.08695652,5195.0,0.0,Tripura,1,1,65.0,1,14,2.0,Dead,Dead,0,-1,,,,0,-1,0,-1,-1,-1,1,1,0,,,0,1,-1.0,,,0,1,-1,,,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,9,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15.0,1,Govt Doc/Nurse in Pvt 2,Home,Govt Doc/Nurse 1,This village or Neighbourhood,Other Allopathic 3,0.0,500.0,No 0,1000.0,0.0,0.0,0,0,0,0,0,0,0,2,4,4,2,,,,,,,,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,6.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,40000.0,72000.0,85000.0,249024.0,41504.0,23.0,22.0,,,0.0,0.0,197000.0,0.0,,0.0,,197000.0,32833.3320313,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,197000.0,65.0,58.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,12.0,9.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.3695165430745024,10.633569180889136,10.399199498836232,Inactive,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.6023515805705474,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Tripura,0.0,0.0,0.0
IHDS-II 2,Tripura 16,0,2,110,1,2.0,160102,1601021101,160102110102,5195.08695652,5195.0,0.0,Tripura,2,2,58.0,1,6,1.0,,,0,-1,,,,0,-1,0,-1,-1,-1,1,1,1,,,1,1,-1.0,,,0,1,-1,,,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,7,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.0,1,Govt Doc/Nurse 1,This village or Neighbourhood,Govt Doc/Nurse in Pvt 2,Another Village,Ayurvedic 4,0.0,400.0,No 0,900.0,0.0,0.0,0,0,0,0,0,0,0,1,1,4,1,,,112.0,112.0,Standing 2,20.29999923707,20.29999923707,No 0,1,1,non-metro,,555.78997802735,979.0,0.6208791136742,6.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,40000.0,72000.0,85000.0,249024.0,41504.0,23.0,22.0,,,0.0,0.0,197000.0,0.0,,0.0,,197000.0,32833.3320313,none 0,missing hours 1,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,missing hours 1,197000.0,65.0,58.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,12.0,9.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,1.3695165430745024,10.633569180889136,10.399199498836232,Self-employed,0.0,0.0,1.0,0.0,0.0,1300.0,1300.0,0.5220380364944743,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tripura,1.0,0.0,0.5
