SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1
IHDS-II 2,Chandigarh 04,0,1,10,9,1.0,40401,0404010109,040401010901,3916.37868853,3916.0,0.0,Chandigarh,Male 1,Head 1,43.0,Married 1,Salaried 8,2.0,IF Spouse/Parent outside for more than 6 months,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Above Bachelors 16,some post-grad 16,No 0,No 0,II,regular school 1,Science 3,College 1,"Masters,Ph.D. 5",II,Yes 1,Yes 1,Home 1,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1155.0,0.5463414788246,5.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,316908.0,63381.6015625,29.0,28.0,,,0.0,0.0,,0.0,270300.0,0.0,,270300.0,54060.0,none 0,none 0,FISH REEJ OFFICER,Govt officials 21,Public admin 90,365.0,12.0,8.0,2920.0,Per Month 2,21000.0,252000.0,270300.0,92.5684967042,Yes meal,Yes 1,No 0,7300.0,0.0,11000.0,Regular/Permanent/Longer contract,Govt/PSU 1,30.0,,,,none 0,,,,none 0,365.0,2920.0,270300.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2920.0,ft yr 4,0.0,43.0,41.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,270300.0,0.0,0.0,1,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,10,9,2.0,40401,0404010109,040401010902,3916.37868853,3916.0,0.0,Chandigarh,Female 2,Wife/Husband 2,41.0,Married 1,Housework 11,1.0,,,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Above Bachelors 16,some post-grad 16,No 0,No 0,II,regular school 1,Science 3,College 1,"Masters,Ph.D. 5",II,Yes 1,Yes 1,Home 1,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Yes 1,Yes 1,No 0,No 0,,,,0.0,Yes 1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,250.0,Yes 1,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,,158.39999389649,158.39999389649,Standing 2,66.5,66.5,Yes 1,urban 1,other urban 1,non-metro,,642.51000976563,1155.0,0.5463414788246,5.0,Yes 1,Yes 1,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,316908.0,63381.6015625,29.0,28.0,,,0.0,0.0,,0.0,270300.0,0.0,,270300.0,54060.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,270300.0,43.0,41.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,270300.0,0.0,0.0,1,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,10,9,3.0,40401,0404010109,040401010903,3916.37868853,3916.0,0.0,Chandigarh,Female 2,Son/Daughter 3,14.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,Yes 1,8th class 8,6-9 8,No 0,No 0,.a,,,,,.a,Yes 1,Yes 1,Home 1,Yes 1,No 0,Yes 1,,,,,,,,,,,School 1,Yes 1,Private 4,3.0,9th class 9,,English 11,none 0,30.0,14.0,0.0,0.0,,,,,,No 0,No 0,No 0,0.0,12000.0,4000.0,3000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,1.0,140.39999389649,140.10000610352,Standing 2,30.5,30.5,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1155.0,0.5463414788246,5.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,316908.0,63381.6015625,29.0,28.0,,,0.0,0.0,,0.0,270300.0,0.0,,270300.0,54060.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,270300.0,43.0,41.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,270300.0,0.0,0.0,1,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,10,9,4.0,40401,0404010109,040401010904,3916.37868853,3916.0,0.0,Chandigarh,Female 2,Son/Daughter 3,11.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,Yes 1,4th class 4,1-4 3,No 0,No 0,.a,,,,,.a,Yes 1,No 0,Home 1,Yes 1,No 0,Yes 1,"Yes, currently 1",4.0,Yes 1,Nicely 1,Hindi 1,Story 4,English 11,Division 3,English 11,No mistake 2,School 1,Yes 1,Private 4,3.0,5th class 5,,English 11,none 0,30.0,14.0,0.0,0.0,,,,,,No 0,No 0,No 0,0.0,9000.0,3500.0,3000.0,0.0,"Yes, currently 2",3.0,Better Education 3,Affordable 6,No 0,Rarely/Never 1,Male 1,Yes 1,Rarely/Never 1,Excellent 1,Rarely/Never 1,Yes 1,Yes 1,2.0,Average 2,Always 4,0.0,Yes 1,Yes 1,Yes 1,9.0,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,2.0,128.39999389649,128.39999389649,Standing 2,22.39999961854,22.39999961854,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1155.0,0.5463414788246,5.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,316908.0,63381.6015625,29.0,28.0,,,0.0,0.0,,0.0,270300.0,0.0,,270300.0,54060.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,270300.0,43.0,41.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,270300.0,0.0,0.0,1,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,10,9,5.0,40401,0404010109,040401010905,3916.37868853,3916.0,0.0,Chandigarh,Male 1,Son/Daughter 3,5.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,Yes 1,none 0,none 0,Yes 1,No 0,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,School 1,Yes 1,Private 4,3.0,1st class 1,,English 11,none 0,30.0,14.0,0.0,0.0,,,,,,No 0,No 0,No 0,0.0,9000.0,3500.0,3000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,3.0,112.40000152588,112.40000152588,Standing 2,17.29999923707,17.29999923707,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1155.0,0.5463414788246,5.0,No 0,No 0,Sikh 4,Forward/General (except Brahmin) 2,"Christian, Sikh, Jain 7",,,,316908.0,63381.6015625,29.0,28.0,,,0.0,0.0,,0.0,270300.0,0.0,,270300.0,54060.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,270300.0,43.0,41.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,270300.0,0.0,0.0,1,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,20,9,1.0,40401,0404010209,040401020901,3916.37868853,3916.0,0.0,Chandigarh,Male 1,Head 1,77.0,Married 1,Retired 10,2.0,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Above Bachelors 16,some post-grad 16,No 0,No 0,I,regular school 1,Science 3,College 1,"BA,BSc,BCom,etc. 2",.d,No 0,,,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Yes 1,Yes 1,No 0,No 0,,,,2.0,Yes 1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,500.0,No 0,100.0,50.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,168.19999694825,168.19999694825,Standing 2,58.79999923707,58.70000076294,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1233.0,0.5463414788246,2.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,145438.0,72719.0,27.0,26.0,,,0.0,0.0,,250000.0,,0.0,,250000.0,125000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,250000.0,77.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Bachelors 15,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,20,9,2.0,40401,0404010209,040401020902,3916.37868853,3916.0,0.0,Chandigarh,Female 2,Wife/Husband 2,72.0,Married 1,Housework 11,1.0,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Bachelors 15,graduate 15,No 0,No 0,I,regular school 1,Arts 1,College 1,"BA,BSc,BCom,etc. 2",.d,No 0,,,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,Yes 2,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,5.0,Yes 1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,5000.0,No 0,200.0,100.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,,152.30000305176,152.30000305176,Standing 2,47.29999923707,47.20000076294,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1233.0,0.5463414788246,2.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,145438.0,72719.0,27.0,26.0,,,0.0,0.0,,250000.0,,0.0,,250000.0,125000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,250000.0,77.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Bachelors 15,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,30,9,1.0,40401,0404010309,040401030901,3916.37868853,3916.0,0.0,Chandigarh,Male 1,Head 1,42.0,Married 1,Salaried 8,2.0,IF Spouse/Parent outside for more than 6 months,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,1 year post-secondary,"Higher sec(&13,14) 12",No 0,No 0,II,regular school 1,Arts 1,College 1,Incomplete 1,.d,Yes 1,Yes 1,Home 1,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,Yes 2,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,3.0,Yes 1,Pvt Doc/Nurse 3,District Town,,,Other Allopathic 3,0.0,1000.0,Yes 1,500.0,100.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,172.80000305176,172.80000305176,Standing 2,76.80000305176,76.80000305176,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1233.0,0.5463414788246,3.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,297220.0,99073.3359375,28.0,28.0,,,0.0,0.0,,0.0,182000.0,0.0,30000.0,212000.0,70666.6640625,none 0,none 0,GUEST HOUSE MAIN MAINEJAR HAI,Mgr finance 23,Renting 85,365.0,12.0,8.0,2920.0,Per Month 2,15000.0,180000.0,182000.0,62.3287658692,No,No 0,No 0,0.0,0.0,2000.0,Regular/Permanent/Longer contract,Private employer 3,10.0,,,,none 0,,,,none 0,365.0,2920.0,182000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2920.0,ft yr 4,30000.0,42.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182000.0,0.0,0.0,2,Bachelors 15,1 year post-secondary,Bachelors 15,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,30,9,2.0,40401,0404010309,040401030902,3916.37868853,3916.0,0.0,Chandigarh,Female 2,Wife/Husband 2,38.0,Married 1,Housework 11,1.0,IF Spouse/Parent outside for more than 6 months,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,Bachelors 15,graduate 15,No 0,No 0,II,regular school 1,Arts 1,College 1,"BA,BSc,BCom,etc. 2",I,Yes 1,Yes 1,Home 1,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,,153.30000305176,153.30000305176,Standing 2,78.5,78.5,Yes 1,urban 1,other urban 1,non-metro,,642.51000976563,1233.0,0.5463414788246,3.0,Yes 1,Yes 1,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,297220.0,99073.3359375,28.0,28.0,,,0.0,0.0,,0.0,182000.0,0.0,30000.0,212000.0,70666.6640625,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,212000.0,42.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182000.0,0.0,0.0,2,Bachelors 15,1 year post-secondary,Bachelors 15,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Chandigarh 04,0,1,30,9,3.0,40401,0404010309,040401030903,3916.37868853,3916.0,0.0,Chandigarh,Male 1,Son/Daughter 3,15.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,Yes 1,9th class 9,6-9 8,No 0,No 0,.a,,,,,.a,Yes 1,Yes 1,Home 1,Yes 1,Yes 1,Yes 1,,,,,,,,,,,School 1,Yes 1,Private 4,8.0,Secondary 10,,English 11,none 0,36.0,6.0,26.0,2.0,,,,,,No 0,No 0,No 0,0.0,36000.0,6000.0,8000.0,24000.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,1.0,170.19999694825,170.19999694825,Standing 2,68.80000305176,68.80000305176,No 0,urban 1,other urban 1,non-metro,,642.51000976563,1233.0,0.5463414788246,3.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,297220.0,99073.3359375,28.0,28.0,,,0.0,0.0,,0.0,182000.0,0.0,30000.0,212000.0,70666.6640625,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,212000.0,42.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182000.0,0.0,0.0,2,Bachelors 15,1 year post-secondary,Bachelors 15,,,,,,,,,No 0,,,No 0,,
