SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,10,9,1.0,260101,2601010109,260101010901,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Male 1,Head 1,35.0,Married 1,Salaried 8,2.0,Dead,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,Bachelors 15,graduate 15,No 0,No 0,II,regular school 1,Arts 1,College 1,"BA,BSc,BCom,etc. 2",II,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,166.0,166.0,Standing 2,63.29999923707,63.29999923707,No 0,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,137920.0,34480.0,20.0,19.0,,,0.0,0.0,,0.0,96000.0,0.0,,96000.0,24000.0,none 0,none 0,HELPER IN FILAMENT TEXTILE,Tailors 79,Manf cotton textiles 23,365.0,12.0,8.0,2920.0,Per Month 2,8000.0,96000.0,96000.0,32.8767127991,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Private firm 2,45.0,,,,none 0,,,,none 0,365.0,2920.0,96000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2920.0,ft yr 4,0.0,35.0,30.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96000.0,0.0,0.0,0,Bachelors 15,Bachelors 15,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,10,9,2.0,260101,2601010109,260101010902,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Female 2,Wife/Husband 2,30.0,Married 1,Housework 11,1.0,,,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,Secondary 10,Secondary(&11) 10,No 0,No 0,II,regular school 1,Science 3,No 0,,.d,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,,153.10000610352,153.19999694825,Standing 2,43.59999847413,43.59999847413,Yes 1,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,Yes 1,Yes 1,Hindu 1,Brahmin 1,Brahmin 1,,,,137920.0,34480.0,20.0,19.0,,,0.0,0.0,,0.0,96000.0,0.0,,96000.0,24000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,96000.0,35.0,30.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96000.0,0.0,0.0,0,Bachelors 15,Bachelors 15,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,10,9,3.0,260101,2601010109,260101010903,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Male 1,Son/Daughter 3,10.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,6th class 6,6-9 8,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,6th class 6,,English 11,1st class 1,33.0,14.0,14.0,2.0,,,,,,Yes 1,No 0,Yes 1,0.0,0.0,5000.0,0.0,2100.0,"Yes, currently 2",5.0,Close to home 2,,No 0,Rarely/Never 1,Female 2,No 0,Rarely/Never 1,Excellent 1,Rarely/Never 1,Yes 1,Yes 1,3.0,Below average 1,Usually 3,0.0,No 0,No 0,No 0,9.0,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,Yes 2,5.0,Yes 1,Pvt Doc/Nurse 3,Another Village,,,Pain killer/Cough syrup 1,0.0,5000.0,Yes 1,0.0,1000.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,137920.0,34480.0,20.0,19.0,,,0.0,0.0,,0.0,96000.0,0.0,,96000.0,24000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,96000.0,35.0,30.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96000.0,0.0,0.0,0,Bachelors 15,Bachelors 15,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,10,9,4.0,260101,2601010109,260101010904,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Male 1,Son/Daughter 3,6.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,1st class 1,1-4 3,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,1st class 1,,English 11,1st class 1,33.0,14.0,14.0,3.0,,,,,,Yes 1,No 0,Yes 1,0.0,0.0,5000.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,3.0,121.0,121.09999847413,Standing 2,21.10000038147,21.10000038147,No 0,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,137920.0,34480.0,20.0,19.0,,,0.0,0.0,,0.0,96000.0,0.0,,96000.0,24000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,96000.0,35.0,30.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96000.0,0.0,0.0,0,Bachelors 15,Bachelors 15,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,20,1,1.0,260101,2601010201,260101020101,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Male 1,Head 1,42.0,Married 1,Salaried 8,2.0,Dead,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,1 year post-secondary,"Higher sec(&13,14) 12",No 0,Yes 1,III,regular school 1,Arts 1,College 1,Incomplete 1,.d,Yes 1,Yes 1,Office 3,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,169.19999694825,169.19999694825,Standing 2,72.09999847413,72.09999847413,No 0,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,No 0,No 0,Hindu 1,Scheduled Tribes (ST) 5,Adivasi 5,6500.0,,,116352.0,29088.0,21.0,20.0,,,0.0,0.0,6500.0,0.0,120000.0,0.0,,126500.0,31625.0,none 0,none 0,STORE KEEPAR (PLASTIC FACTORY),Clerical nec 35,Manf rubber/plastic 31,270.0,12.0,8.0,2160.0,Per Month 2,10000.0,120000.0,120000.0,55.555557251,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Private firm 2,10.0,,,,none 0,,,,none 0,270.0,2160.0,120000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,270.0,2160.0,ft yr 4,6500.0,42.0,37.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120000.0,0.0,0.0,0,1 year post-secondary,1 year post-secondary,1 year post-secondary,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,20,1,2.0,260101,2601010201,260101020102,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Female 2,Wife/Husband 2,37.0,Married 1,Small business 6,1.0,,,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,works in 1st hh business,80.0,2.0,Yes 1,no 2nd hh business,,,,,no 3rd hh business,,,,80.0,160.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,1 year post-secondary,"Higher sec(&13,14) 12",No 0,No 0,II,regular school 1,Arts 1,College 1,Incomplete 1,.d,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,,156.0,156.0,Standing 2,72.09999847413,72.09999847413,Yes 1,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,Yes 1,Yes 1,Hindu 1,Scheduled Tribes (ST) 5,Adivasi 5,6500.0,,,116352.0,29088.0,21.0,20.0,,,0.0,0.0,6500.0,0.0,120000.0,0.0,,126500.0,31625.0,none 0,<240hrs 2,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,80.0,160.0,<240hrs 2,120000.0,42.0,37.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120000.0,0.0,0.0,0,1 year post-secondary,1 year post-secondary,1 year post-secondary,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,20,1,3.0,260101,2601010201,260101020103,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Male 1,Son/Daughter 3,15.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,5th class 5,primary 5,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,6th class 6,,English 11,1st class 1,33.0,14.0,7.0,2.0,,,,,,Yes 1,No 0,Yes 1,0.0,0.0,3000.0,0.0,800.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,1.0,165.0,165.0,Standing 2,49.09999847413,49.09999847413,No 0,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,No 0,No 0,Hindu 1,Scheduled Tribes (ST) 5,Adivasi 5,6500.0,,,116352.0,29088.0,21.0,20.0,,,0.0,0.0,6500.0,0.0,120000.0,0.0,,126500.0,31625.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,126500.0,42.0,37.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120000.0,0.0,0.0,0,1 year post-secondary,1 year post-secondary,1 year post-secondary,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,20,1,4.0,260101,2601010201,260101020104,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Male 1,Son/Daughter 3,11.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,4th class 4,1-4 3,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,"Yes, currently 1",3.0,Yes 1,Nicely 1,English 11,Paragraph 3,English 11,Subtraction 2,English 11,1-2 mistakes 1,School 1,Yes 1,Private 4,1.0,4th class 4,,English 11,1st class 1,36.0,14.0,7.0,1.0,,,,,,No 0,Yes 1,No 0,0.0,2800.0,10000.0,2000.0,2200.0,"Yes, currently 2",3.0,Better Education 3,,No 0,Rarely/Never 1,Female 2,No 0,Rarely/Never 1,Good 2,Rarely/Never 1,Yes 1,Yes 1,3.0,Below average 1,Always 4,0.0,No 0,No 0,No 0,9.0,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,2.0,142.10000610352,142.10000610352,Standing 2,29.0,29.10000038147,No 0,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,No 0,No 0,Hindu 1,Scheduled Tribes (ST) 5,Adivasi 5,6500.0,,,116352.0,29088.0,21.0,20.0,,,0.0,0.0,6500.0,0.0,120000.0,0.0,,126500.0,31625.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,126500.0,42.0,37.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120000.0,0.0,0.0,0,1 year post-secondary,1 year post-secondary,1 year post-secondary,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,30,9,1.0,260101,2601010309,260101030901,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Male 1,Head 1,32.0,Married 1,Small business 6,2.0,IF Spouse/Parent outside for more than 6 months,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,works in 1st hh business,300.0,16.0,Yes 1,no 2nd hh business,,,,,no 3rd hh business,,,,300.0,4000.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,8th class 8,6-9 8,No 0,No 0,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,150.19999694825,150.30000305176,Standing 2,60.0,60.0,No 0,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,77880.0,,,280668.0,70167.0,21.0,20.0,,,0.0,0.0,77880.0,0.0,,0.0,,77880.0,19470.0,none 0,ft yr 4,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,300.0,4000.0,ft yr 4,0.0,32.0,28.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8th class 8,8th class 8,7th class 7,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Dadra+Nagar Haveli 26,0,1,30,9,2.0,260101,2601010309,260101030902,9592.3,9592.0,0.0,Dadra & Nagar Haveli,Female 2,Wife/Husband 2,28.0,Married 1,Housework 11,1.0,Dead,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,7th class 7,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,,140.89999389649,140.89999389649,Standing 2,54.70000076294,54.70000076294,Yes 1,urban 1,other urban 1,non-metro,,608.76000976563,1126.0,0.5679611563683,4.0,Yes 1,Yes 1,Hindu 1,Brahmin 1,Brahmin 1,77880.0,,,280668.0,70167.0,21.0,20.0,,,0.0,0.0,77880.0,0.0,,0.0,,77880.0,19470.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,77880.0,32.0,28.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8th class 8,8th class 8,7th class 7,,,,,,,,,No 0,,,No 0,,
