SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1
IHDS-II 2,Daman & Diu 25,0,1,10,1,1.0,250101,2501010101,250101010101,154.07142257,154.0,0.0,Daman & Diu,Male 1,Head 1,52.0,Married 1,Nonag wage labour 4,2.0,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Secondary 10,Secondary(&11) 10,No 0,No 0,II,,,,,.d,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Unable to do it 2,,,,,,,166.0,166.0,Standing 2,67.5,67.5,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,3.0,No 0,No 0,Muslim 2,Forward/General (except Brahmin) 2,Muslim 6,,,,102733.0,34244.3320313,15.0,15.0,,,0.0,0.0,,0.0,60000.0,0.0,,60000.0,20000.0,none 0,none 0,CYCLE KE DUKAN ME KAM KARTA HAI,Assemblers 84,Repair services 97,300.0,12.0,7.0,2100.0,Per Day 1,200.0,60000.0,60000.0,28.571428299,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private firm 2,10.0,,,,none 0,300.0,2100.0,60000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,,,,none 0,300.0,2100.0,ft yr 4,0.0,52.0,41.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60000.0,0.0,0.0,0.0,60000.0,0,Secondary 10,Secondary 10,4th class 4,same state 1,urban 1,With Spouse 2,2.0,1.0,SECURITY,Police 57,Contractor 1,Yes 1,1.0,2.0,Yes 1,1.0,2.0
IHDS-II 2,Daman & Diu 25,0,1,10,1,2.0,250101,2501010101,250101010102,154.07142257,154.0,0.0,Daman & Diu,Female 2,Wife/Husband 2,41.0,Married 1,Housework 11,1.0,,,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,4th class 4,1-4 3,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Yes 1,Yes 1,No 0,No 0,,,,3.0,Yes 1,Pvt Doc/Nurse 3,This village or Town,,,Antibiotic 2,0.0,100.0,No 0,0.0,30.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,Yes 2,No 0,No 0,No 0,No 0,15.0,Yes 1,Pvt Doc/Nurse 3,This village or Neighbourhood,,,Antibiotic 2,0.0,60.0,No 0,0.0,0.0,0.0,with difficulty 1,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Unable to do it 2,,,,,,,153.0,153.0,Standing 2,62.0,62.0,Yes 1,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,3.0,Yes 1,Yes 1,Muslim 2,Forward/General (except Brahmin) 2,Muslim 6,,,,102733.0,34244.3320313,15.0,15.0,,,0.0,0.0,,0.0,60000.0,0.0,,60000.0,20000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,60000.0,52.0,41.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60000.0,0.0,0.0,0.0,60000.0,0,Secondary 10,Secondary 10,4th class 4,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,10,1,3.0,250101,2501010101,250101010103,154.07142257,154.0,0.0,Daman & Diu,Male 1,Son/Daughter 3,20.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,Yes 1,11th Class 11,Secondary(&11) 10,No 0,Yes 1,III,regular school 1,Commerce 2,No 0,,.d,Yes 1,Yes 1,School/Collage 4,Yes 1,Yes 1,Yes 1,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,High Secondary 12,Commerce/Business management 2,Gujarati 4,5th class 5,28.0,7.0,0.0,3.0,,,,,,No 0,Yes 1,No 0,0.0,500.0,1000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,3.0,No 0,No 0,Muslim 2,Forward/General (except Brahmin) 2,Muslim 6,,,,102733.0,34244.3320313,15.0,15.0,,,0.0,0.0,,0.0,60000.0,0.0,,60000.0,20000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,60000.0,52.0,41.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60000.0,0.0,0.0,0.0,60000.0,0,Secondary 10,Secondary 10,4th class 4,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,20,1,1.0,250101,2501010201,250101020101,154.07142257,154.0,0.0,Daman & Diu,Male 1,Head 1,31.0,Married 1,Salaried 8,2.0,Dead,5.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,High Secondary 12,"Higher sec(&13,14) 12",No 0,No 0,I,regular school 1,Commerce 2,No 0,,.d,No 0,,,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,180.0,180.0,Standing 2,72.80000305176,72.80000305176,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,150498.0,30099.5996094,19.0,18.0,,,0.0,0.0,,0.0,201454.0,0.0,,201454.0,40290.8007813,none 0,none 0,POLICE JOBS,Police 57,Public admin 90,280.0,12.0,8.0,2240.0,Per Month 2,15000.0,180000.0,201454.0,89.9348220826,Yes house,No 0,Yes 1,0.0,18000.0,3454.0,Regular/Permanent/Longer contract,Govt/PSU 1,60.0,,,,none 0,,,,none 0,280.0,2240.0,201454.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,280.0,2240.0,ft yr 4,0.0,31.0,22.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201454.0,0.0,0.0,0,High Secondary 12,High Secondary 12,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,20,1,2.0,250101,2501010201,250101020102,154.07142257,154.0,0.0,Daman & Diu,Female 2,Wife/Husband 2,22.0,Married 1,Housework 11,1.0,,,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,Secondary 10,Secondary(&11) 10,No 0,Yes 1,II,Finished 9,,,,.d,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,5.0,Yes 1,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,150498.0,30099.5996094,19.0,18.0,,,0.0,0.0,,0.0,201454.0,0.0,,201454.0,40290.8007813,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,201454.0,31.0,22.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201454.0,0.0,0.0,0,High Secondary 12,High Secondary 12,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,20,1,3.0,250101,2501010201,250101020103,154.07142257,154.0,0.0,Daman & Diu,Male 1,Son/Daughter 3,6.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,Yes 1,1st class 1,1-4 3,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Private 4,2.0,1st class 1,,English 11,1st class 1,30.0,1.0,1.0,1.0,,,,,,No 0,No 0,No 0,0.0,7000.0,7000.0,0.0,2400.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,180.0,180.0,Standing 2,17.79999923707,17.79999923707,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,150498.0,30099.5996094,19.0,18.0,,,0.0,0.0,,0.0,201454.0,0.0,,201454.0,40290.8007813,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,201454.0,31.0,22.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201454.0,0.0,0.0,0,High Secondary 12,High Secondary 12,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,20,1,4.0,250101,2501010201,250101020104,154.07142257,154.0,0.0,Daman & Diu,Female 2,Son/Daughter 3,0.0,Unmarried 2,Unemployed 13,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,No 0,none,No 0,,none 0,none 0,No 0,,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,150498.0,30099.5996094,19.0,18.0,,,0.0,0.0,,0.0,201454.0,0.0,,201454.0,40290.8007813,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,201454.0,31.0,22.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201454.0,0.0,0.0,0,High Secondary 12,High Secondary 12,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,20,1,5.0,250101,2501010201,250101020105,154.07142257,154.0,0.0,Daman & Diu,Female 2,Father/Mother 6,65.0,Widowed 3,Too young/Unfit 14,Dead,,,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,No 0,none,No 0,,none 0,none 0,No 0,,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,Yes 2,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,30.0,Yes 1,Pvt Doc/Nurse 3,This village or Neighbourhood,,,Surgery 7,3.0,12000.0,Yes 1,0.0,200.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,164.10000610352,164.10000610352,Standing 2,70.19999694825,70.19999694825,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,150498.0,30099.5996094,19.0,18.0,,,0.0,0.0,,0.0,201454.0,0.0,,201454.0,40290.8007813,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,201454.0,31.0,22.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201454.0,0.0,0.0,0,High Secondary 12,High Secondary 12,Secondary 10,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,30,1,1.0,250101,2501010301,250101030101,154.07142257,154.0,0.0,Daman & Diu,Male 1,Head 1,44.0,Married 1,Nonag wage labour 4,2.0,Dead,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,5th class 5,primary 5,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Daily 4,Daily 4,Daily 4,Daily 4,,,156.10000610352,156.10000610352,Standing 2,51.09999847413,51.09999847413,No 0,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,104040.0,20808.0,11.0,11.0,,,0.0,0.0,,0.0,60000.0,0.0,,60000.0,12000.0,none 0,none 0,MACHHI PAKADNE KA MAJDURI KARTE,Fishermen 68,Fishing 6,365.0,12.0,10.0,3650.0,Per Month 2,5000.0,60000.0,60000.0,16.4383563995,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,60.0,,,,none 0,,,,none 0,365.0,3650.0,60000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,3650.0,ft yr 4,0.0,44.0,35.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,0.0,0.0,1,5th class 5,5th class 5,none 0,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Daman & Diu 25,0,1,30,1,2.0,250101,2501010301,250101030102,154.07142257,154.0,0.0,Daman & Diu,Female 2,Wife/Husband 2,35.0,Married 1,Housework 11,1.0,,,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,No 0,none,No 0,,none 0,none 0,No 0,,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,with difficulty 1,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,2.0,160.19999694825,160.19999694825,Standing 2,90.90000152588,90.90000152588,Yes 1,rural 0,more dev vill 2,non-metro,,484.89001464844,1186.0,0.4654255211353,5.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,104040.0,20808.0,11.0,11.0,,,0.0,0.0,,0.0,60000.0,0.0,,60000.0,12000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,60000.0,44.0,35.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,0.0,0.0,1,5th class 5,5th class 5,none 0,,,,,,,,,No 0,,,No 0,,
