SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1
IHDS-II 2,Nagaland 13,0,1,10,1,1.0,130601,1306010101,130601010101,4044.64379455,4045.0,0.0,Nagaland,Male 1,Head 1,46.0,Married 1,Small business 6,2.0,Dead,Dead,No 0,,,,,none 0,,Yes 1,No 0,No 0,No 0,Yes 1,hh has 1st business,works in 1st hh business,225.0,5.0,Yes 1,no 2nd hh business,,,,,no 3rd hh business,,,,225.0,1125.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,11th Class 11,Secondary(&11) 10,No 0,No 0,III,regular school 1,Arts 1,No 0,,.d,No 0,,,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,156.30000305176,156.30000305176,Standing 2,71.80000305176,71.80000305176,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,3.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,62000.0,,,228550.0,76183.3359375,23.0,21.0,,,-300.0,-300.0,62000.0,0.0,,5000.0,,66700.0,22233.3339844,none 0,parttime 3,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,225.0,1125.0,parttime 3,4700.0,46.0,45.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,11th Class 11,11th Class 11,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,10,1,2.0,130601,1306010101,130601010102,4044.64379455,4045.0,0.0,Nagaland,Female 2,Wife/Husband 2,45.0,Married 1,Housework 11,1.0,IF Spouse/Parent outside for more than 6 months,IF Spouse/Parent outside for more than 6 months,No 0,,,,,none 0,,Yes 1,Yes 1,Usually 2,Yes 1,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,5th class 5,primary 5,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,,154.5,154.5,Standing 2,61.5,61.5,Yes 1,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,3.0,Yes 1,Yes 1,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,62000.0,,,228550.0,76183.3359375,23.0,21.0,,,-300.0,-300.0,62000.0,0.0,,5000.0,,66700.0,22233.3339844,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,66700.0,46.0,45.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,11th Class 11,11th Class 11,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,10,1,3.0,130601,1306010101,130601010103,4044.64379455,4045.0,0.0,Nagaland,Female 2,Son/Daughter 3,10.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,Yes 1,No 0,No 0,No 0,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,6th class 6,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Private 4,1.0,6th class 6,,English 11,1st class 1,7.0,1.0,0.0,0.0,,,,,,No 0,No 0,No 0,0.0,4200.0,250.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,3.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,62000.0,,,228550.0,76183.3359375,23.0,21.0,,,-300.0,-300.0,62000.0,0.0,,5000.0,,66700.0,22233.3339844,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,66700.0,46.0,45.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,11th Class 11,11th Class 11,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,20,1,1.0,130601,1306010201,130601020101,4044.64379455,4045.0,0.0,Nagaland,Male 1,Head 1,57.0,Married 1,Cultivation 1,2.0,Dead,8.0,Yes 1,Yes 1,90.0,4.0,360.0,parttime 3,Yes 1,Yes 1,No 0,No 0,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,1.0,1.0,100.0,50.0,No work 2,1.0,,Yes 1,Fluent 2,Yes 1,No 0,Above Bachelors 16,some post-grad 16,No 0,No 0,I,regular school 1,Engineering 4,Technical 2,"BE,B.Tech. 3",II,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,173.19999694825,173.19999694825,Standing 2,69.30000305176,69.30000305176,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,8.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,325080.0,40635.0,27.0,25.0,-23050.0,30000.0,-2500.0,4450.0,,60000.0,6490.0,25000.0,,95940.0,11992.5,none 0,none 0,MGNREGA (APPROACH ROAD),Construction 95,Construction 50,50.0,2.0,6.0,300.0,Per Day 1,118.0,5900.0,6490.0,21.6333332062,Yes house,No 0,Yes 1,0.0,590.0,0.0,Casual daily 1,MGNREGA 4,10.0,,,,none 0,50.0,300.0,6490.0,parttime 3,,,,none 0,50.0,300.0,6490.0,parttime 3,140.0,660.0,parttime 3,112500.0,57.0,52.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6490.0,0.0,0.0,6490.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,20,1,2.0,130601,1306010201,130601020102,4044.64379455,4045.0,0.0,Nagaland,Female 2,Wife/Husband 2,52.0,Married 1,Housework 11,1.0,,,Yes 1,No 0,,,,none 0,No 0,Yes 1,Yes 1,Usually 2,Yes 1,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,Secondary 10,Secondary(&11) 10,No 0,No 0,III,Finished 9,,,,.d,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,163.5,163.5,Standing 2,52.40000152588,52.40000152588,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,8.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,325080.0,40635.0,27.0,25.0,-23050.0,30000.0,-2500.0,4450.0,,60000.0,6490.0,25000.0,,95940.0,11992.5,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,95940.0,57.0,52.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6490.0,0.0,0.0,6490.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,20,1,3.0,130601,1306010201,130601020103,4044.64379455,4045.0,0.0,Nagaland,Female 2,Son/Daughter 3,26.0,Unmarried 2,Unemployed 13,,1.0,2.0,Yes 1,No 0,,,,none 0,No 0,Yes 1,No 0,No 0,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Above Bachelors 16,some post-grad 16,No 0,No 0,I,regular school 1,Engineering 4,Technical 2,"BE,B.Tech. 3",I,Yes 1,Yes 1,Home 1,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,8.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,325080.0,40635.0,27.0,25.0,-23050.0,30000.0,-2500.0,4450.0,,60000.0,6490.0,25000.0,,95940.0,11992.5,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,95940.0,57.0,52.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6490.0,0.0,0.0,6490.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,20,1,4.0,130601,1306010201,130601020104,4044.64379455,4045.0,0.0,Nagaland,Male 1,Son/Daughter 3,25.0,Unmarried 2,Unemployed 13,,1.0,2.0,Yes 1,No 0,,,,none 0,No 0,Yes 1,No 0,No 0,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Above Bachelors 16,some post-grad 16,No 0,No 0,II,regular school 1,Science 3,College 1,"Masters,Ph.D. 5",III,Yes 1,Yes 1,Home 1,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,8.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,325080.0,40635.0,27.0,25.0,-23050.0,30000.0,-2500.0,4450.0,,60000.0,6490.0,25000.0,,95940.0,11992.5,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,95940.0,57.0,52.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6490.0,0.0,0.0,6490.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,20,1,5.0,130601,1306010201,130601020105,4044.64379455,4045.0,0.0,Nagaland,Male 1,Son/Daughter 3,24.0,Unmarried 2,Unemployed 13,,1.0,2.0,Yes 1,No 0,,,,none 0,No 0,Yes 1,No 0,No 0,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,No 0,Bachelors 15,graduate 15,No 0,No 0,I,regular school 1,Commerce 2,College 1,"BA,BSc,BCom,etc. 2",II,Yes 1,Yes 1,Home 1,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,8.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,325080.0,40635.0,27.0,25.0,-23050.0,30000.0,-2500.0,4450.0,,60000.0,6490.0,25000.0,,95940.0,11992.5,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,95940.0,57.0,52.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6490.0,0.0,0.0,6490.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,20,1,6.0,130601,1306010201,130601020106,4044.64379455,4045.0,0.0,Nagaland,Male 1,Son/Daughter 3,22.0,Unmarried 2,Student 12,,1.0,2.0,Yes 1,No 0,,,,none 0,No 0,Yes 1,No 0,No 0,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,Yes 1,2 years post-secondary,"Higher sec(&13,14) 12",No 0,No 0,I,regular school 1,Engineering 4,Technical 2,Incomplete 1,.d,Yes 1,Yes 1,Home 1,No 0,,,,,,,,,,,,,College 2,Yes 1,College 9,3.0,2 years post-secondary,Engineering 4,,,,,,,,,,,,No 0,No 0,No 0,5500.0,1200.0,3000.0,1000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,8.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,325080.0,40635.0,27.0,25.0,-23050.0,30000.0,-2500.0,4450.0,,60000.0,6490.0,25000.0,,95940.0,11992.5,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,95940.0,57.0,52.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6490.0,0.0,0.0,6490.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Nagaland 13,0,1,20,1,7.0,130601,1306010201,130601020107,4044.64379455,4045.0,0.0,Nagaland,Female 2,Son/Daughter 3,19.0,Unmarried 2,Student 12,,1.0,2.0,Yes 1,No 0,,,,none 0,No 0,Yes 1,No 0,No 0,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Fluent 2,Yes 1,Yes 1,11th Class 11,Secondary(&11) 10,No 0,No 0,II,regular school 1,Arts 1,No 0,,.d,Yes 1,Yes 1,Home 1,No 0,,,,,,,,,,,,,School 1,Yes 1,Private 4,2.0,High Secondary 12,Arts 1,English 11,none 0,48.0,6.0,0.0,3.0,,,,,,No 0,No 0,No 0,5200.0,600.0,2500.0,500.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,687.29998779297,1270.0,0.5087976455688,8.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,325080.0,40635.0,27.0,25.0,-23050.0,30000.0,-2500.0,4450.0,,60000.0,6490.0,25000.0,,95940.0,11992.5,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,95940.0,57.0,52.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6490.0,0.0,0.0,6490.0,0.0,0,Above Bachelors 16,Above Bachelors 16,Above Bachelors 16,,,,,,,,,No 0,,,No 0,,
