SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1
IHDS-II 2,Sikkim 11,0,1,10,1,1.0,110401,1104010101,110401010101,430.3373494,430.0,0.0,Sikkim,Male 1,Head 1,48.0,Married 1,Salaried 8,2.0,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,8th class 8,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Daily 4,Sometimes 3,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,POWER DEBT MECHNICAL(ELECTRICIAN),Electrical 85,Community 94,365.0,12.0,8.0,2920.0,Per Month 2,4000.0,48000.0,48000.0,16.4383563995,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Govt/PSU 1,30.0,,,,none 0,,,,none 0,365.0,2920.0,48000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2920.0,ft yr 4,194000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,2.0,110401,1104010101,110401010102,430.3373494,430.0,0.0,Sikkim,Female 2,Wife/Husband 2,40.0,Married 1,Housework 11,1.0,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,3rd class 3,1-4 3,No 0,Yes 1,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Sometimes 3,Sometimes 3,Main quest. 1,,158.60000610352,158.89999389649,Standing 2,62.40000152588,62.79999923707,Yes 1,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,242000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,3.0,110401,1104010101,110401010103,430.3373494,430.0,0.0,Sikkim,Male 1,Son/Daughter 3,19.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,11th Class 11,Secondary(&11) 10,No 0,Yes 1,III,regular school 1,Arts 1,No 0,,.d,Yes 1,Yes 1,Cyber cafe 2,Yes 1,No 0,Yes 1,,,,,,,,,,,School 1,Yes 1,Government 2,2.0,11th Class 11,Arts 1,English 11,none 0,36.0,7.0,0.0,0.0,,,,,,No 0,Yes 1,No 0,0.0,450.0,4000.0,2000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,242000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,4.0,110401,1104010101,110401010104,430.3373494,430.0,0.0,Sikkim,Female 2,Son/Daughter 3,20.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,Secondary 10,Secondary(&11) 10,No 0,No 0,II,regular school 1,Arts 1,No 0,,.d,Yes 1,Yes 1,Cyber cafe 2,Yes 1,No 0,Yes 1,,,,,,,,,,,School 1,Yes 1,Government 2,2.0,Secondary 10,,English 11,none 0,36.0,7.0,0.0,1.0,,,,,,No 0,Yes 1,No 0,0.0,0.0,1000.0,2000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,242000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,5.0,110401,1104010101,110401010105,430.3373494,430.0,0.0,Sikkim,Male 1,Son/Daughter 3,14.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,8th class 8,6-9 8,No 0,No 0,.a,,,,,.a,Yes 1,Yes 1,Cyber cafe 2,Yes 1,No 0,Yes 1,,,,,,,,,,,School 1,Yes 1,Government 2,2.0,9th class 9,,English 11,none 0,36.0,6.0,0.0,0.0,,,,,,No 0,Yes 1,No 0,0.0,0.0,8000.0,2000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,242000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,6.0,110401,1104010101,110401010106,430.3373494,430.0,0.0,Sikkim,Male 1,Brother/Sister 7,39.0,Married 1,Salaried 8,7.0,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,8th class 8,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Never 1,Sometimes 3,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,FOREST DEPT GUARD,Police 57,Public admin 90,365.0,12.0,8.0,2920.0,Per Month 2,8000.0,96000.0,96000.0,32.8767127991,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Govt/PSU 1,25.0,,,,none 0,,,,none 0,365.0,2920.0,96000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2920.0,ft yr 4,146000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,7.0,110401,1104010101,110401010107,430.3373494,430.0,0.0,Sikkim,Female 2,Sib-in-Law 10,31.0,Married 1,Housework 11,6.0,,,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,No 0,none,Yes 1,No 0,5th class 5,primary 5,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Never 1,Rarely 2,,,,,,,,Yes 1,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,242000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,8.0,110401,1104010101,110401010108,430.3373494,430.0,0.0,Sikkim,Male 1,Nephew/Niece 9,14.0,Unmarried 2,Student 12,,6.0,7.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,8th class 8,6-9 8,No 0,No 0,.a,,,,,.a,Yes 1,Yes 1,Cyber cafe 2,Yes 1,No 0,Yes 1,,,,,,,,,,,School 1,Yes 1,Government 2,2.0,9th class 9,,English 11,none 0,36.0,6.0,0.0,0.0,,,,,,No 0,Yes 1,No 0,0.0,0.0,8000.0,2000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,242000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,9.0,110401,1104010101,110401010109,430.3373494,430.0,0.0,Sikkim,Female 2,Nephew/Niece 9,7.0,Unmarried 2,Student 12,,6.0,7.0,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,No 0,none,Yes 1,Yes 1,2nd class 2,1-4 3,No 0,No 0,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,School 1,Yes 1,Government 2,2.0,2nd class 2,,English 11,none 0,30.0,4.0,0.0,2.0,,,,,,Yes 1,Yes 1,Yes 1,0.0,0.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,242000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Sikkim 11,0,1,10,1,10.0,110401,1104010101,110401010110,430.3373494,430.0,0.0,Sikkim,Male 1,Brother/Sister 7,30.0,Unmarried 2,Salaried 8,,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,Secondary 10,Secondary(&11) 10,No 0,Yes 1,II,regular school 1,Arts 1,No 0,,.d,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,531.5,1226.0,0.6193181872368,10.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,159896.0,15989.5996094,17.0,17.0,,,0.0,0.0,,0.0,240000.0,2000.0,,242000.0,24200.0,none 0,none 0,FOREST DEPT GUARD,Police 57,Public admin 90,365.0,12.0,8.0,2920.0,Per Month 2,8000.0,96000.0,96000.0,32.8767127991,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Govt/PSU 1,30.0,,,,none 0,,,,none 0,365.0,2920.0,96000.0,ft yr (250 days/year or more AND 2000 hours/year or more),,,,none 0,365.0,2920.0,ft yr 4,146000.0,48.0,40.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,240000.0,0.0,0.0,0,Secondary 10,Secondary 10,5th class 5,,,,,,,,,No 0,,,No 0,,
