SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1
IHDS-II 2,Tripura 16,0,1,10,1,1.0,160101,1601010101,160101010101,5195.08695652,5195.0,0.0,Tripura,Male 1,Head 1,35.0,Married 1,Small business 6,2.0,5.0,50.0,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,works in 1st hh business,365.0,8.0,Yes 1,no 2nd hh business,,,,,no 3rd hh business,,,,365.0,2920.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,3rd class 3,1-4 3,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Daily 4,Rarely 2,Main quest. 1,,176.0,176.0,Standing 2,62.0,62.0,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,48000.0,,,109675.0,21935.0,16.0,15.0,,,0.0,0.0,48000.0,0.0,4800.0,0.0,,52800.0,10560.0,none 0,ft yr 4,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,365.0,2920.0,ft yr 4,4800.0,35.0,29.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4800.0,0.0,0.0,1,8th class 8,8th class 8,7th class 7,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,1,2.0,160101,1601010101,160101010102,5195.08695652,5195.0,0.0,Tripura,Female 2,Wife/Husband 2,29.0,Married 1,Housework 11,1.0,,,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,7th class 7,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Sometimes 3,Never 1,Main quest. 1,,156.0,156.0,Standing 2,56.29999923707,56.29999923707,Yes 1,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,5.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,48000.0,,,109675.0,21935.0,16.0,15.0,,,0.0,0.0,48000.0,0.0,4800.0,0.0,,52800.0,10560.0,none 0,none 0,BIDI MAKING,Tobacco 78,Retail food 65,240.0,9.60000038147,5.0,1200.0,Fixed 3,4800.0,4800.0,4800.0,4.0,No,No 0,No 0,0.0,0.0,0.0,Contract <1yr 3,Private employer 3,20.0,,,,none 0,,,,none 0,240.0,1200.0,4800.0,parttime 3,,,,none 0,240.0,1200.0,parttime 3,48000.0,35.0,29.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4800.0,0.0,0.0,1,8th class 8,8th class 8,7th class 7,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,1,3.0,160101,1601010101,160101010103,5195.08695652,5195.0,0.0,Tripura,Female 2,Son/Daughter 3,12.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,Yes 1,6th class 6,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,7th class 7,,Bangla 3,1st class 1,24.0,10.0,4.0,4.0,,,,,,Yes 1,No 0,Yes 1,0.0,50.0,300.0,0.0,7200.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,1.0,145.0,145.0,Standing 2,36.0,36.0,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,48000.0,,,109675.0,21935.0,16.0,15.0,,,0.0,0.0,48000.0,0.0,4800.0,0.0,,52800.0,10560.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,52800.0,35.0,29.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4800.0,0.0,0.0,1,8th class 8,8th class 8,7th class 7,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,1,4.0,160101,1601010101,160101010104,5195.08695652,5195.0,0.0,Tripura,Male 1,Son/Daughter 3,6.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,No 0,none,Yes 1,Yes 1,none 0,none 0,Yes 1,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,none 0,,Bangla 3,none 0,20.0,6.0,5.0,6.0,,,,,,Yes 1,No 0,Yes 1,0.0,90.0,100.0,1800.0,2000.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,2.0,130.0,130.0,Standing 2,25.0,25.0,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,48000.0,,,109675.0,21935.0,16.0,15.0,,,0.0,0.0,48000.0,0.0,4800.0,0.0,,52800.0,10560.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,52800.0,35.0,29.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4800.0,0.0,0.0,1,8th class 8,8th class 8,7th class 7,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,1,5.0,160101,1601010101,160101010105,5195.08695652,5195.0,0.0,Tripura,Male 1,Father/Mother 6,66.0,"Married, spouse absent",Too young/Unfit 14,50.0,,,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,8th class 8,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,48000.0,,,109675.0,21935.0,16.0,15.0,,,0.0,0.0,48000.0,0.0,4800.0,0.0,,52800.0,10560.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,52800.0,35.0,29.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4800.0,0.0,0.0,1,8th class 8,8th class 8,7th class 7,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,2,1.0,160101,1601010102,160101010201,5195.08695652,5195.0,0.0,Tripura,Male 1,Head 1,29.0,Married 1,Small business 6,2.0,50.0,4.0,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,works in 1st hh business,300.0,6.0,Yes 1,no 2nd hh business,,,,,no 3rd hh business,,,,300.0,1800.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,9th class 9,6-9 8,No 0,No 0,.a,,,,,.a,Yes 1,Yes 1,Others 7,Yes 1,Yes 1,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Rarely 2,Never 1,Main quest. 1,,172.0,172.0,Standing 2,67.40000152588,67.40000152588,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,60000.0,,,78829.0,19707.25,17.0,16.0,,,0.0,0.0,60000.0,0.0,18660.0,0.0,,78660.0,19665.0,none 0,parttime 3,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,300.0,1800.0,parttime 3,18660.0,29.0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4800.0,0.0,13860.0,4800.0,0.0,1,9th class 9,9th class 9,8th class 8,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,2,2.0,160101,1601010102,160101010202,5195.08695652,5195.0,0.0,Tripura,Female 2,Wife/Husband 2,26.0,Married 1,Housework 11,1.0,,,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,No 0,8th class 8,6-9 8,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Never 1,Never 1,Daily 4,Never 1,Main quest. 1,,154.0,154.0,Standing 2,53.90000152588,53.90000152588,Yes 1,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,60000.0,,,78829.0,19707.25,17.0,16.0,,,0.0,0.0,60000.0,0.0,18660.0,0.0,,78660.0,19665.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,78660.0,29.0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4800.0,0.0,13860.0,4800.0,0.0,1,9th class 9,9th class 9,8th class 8,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,2,3.0,160101,1601010102,160101010203,5195.08695652,5195.0,0.0,Tripura,Male 1,Son/Daughter 3,5.0,Unmarried 2,Student 12,,1.0,2.0,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,No 0,none,Yes 1,Yes 1,none 0,none 0,Yes 1,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,none 0,,Bangla 3,none 0,,,,,,,,,,No 0,No 0,No 0,0.0,100.0,300.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,Yes 2,No 0,No 0,No 0,No 0,No 0,No 0,No 0,20.0,Yes 1,Govt Doc/Nurse in Pvt 2,District Town,,,Others 8,0.0,200.0,No 0,300.0,200.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,Main quest. 1,1.0,115.0,115.0,Standing 2,16.60000038147,16.0,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,60000.0,,,78829.0,19707.25,17.0,16.0,,,0.0,0.0,60000.0,0.0,18660.0,0.0,,78660.0,19665.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,78660.0,29.0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4800.0,0.0,13860.0,4800.0,0.0,1,9th class 9,9th class 9,8th class 8,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,10,2,4.0,160101,1601010102,160101010204,5195.08695652,5195.0,0.0,Tripura,Female 2,Father/Mother 6,52.0,"Married, spouse absent",Nonag wage labour 4,50.0,,,No 0,,,,,none 0,,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,1.0,2.0,100.0,40.0,No work 2,4.0,,Yes 1,none,Yes 1,No 0,8th class 8,6-9 8,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,Yes 2,10.0,Yes 1,Govt Doc/Nurse 1,District Town,,,Others 8,0.0,0.0,,500.0,80.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,4.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,60000.0,,,78829.0,19707.25,17.0,16.0,,,0.0,0.0,60000.0,0.0,18660.0,0.0,,78660.0,19665.0,none 0,none 0,BIDI MAKING,Tobacco 78,Retail food 65,360.0,12.0,4.0,1520.0,Fixed 3,13860.0,13860.0,18660.0,10.828125,No,No 0,No 0,0.0,0.0,0.0,Casual piecework 2,Private firm 2,0.0,,,,none 0,40.0,240.0,4800.0,parttime 3,320.0,1280.0,13860.0,parttime 3,40.0,240.0,4800.0,parttime 3,360.0,1520.0,parttime 3,60000.0,29.0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4800.0,0.0,13860.0,4800.0,0.0,1,9th class 9,9th class 9,8th class 8,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Tripura 16,0,1,20,1,1.0,160101,1601010201,160101020101,5195.08695652,5195.0,0.0,Tripura,Male 1,Head 1,62.0,Married 1,Retired 10,2.0,Dead,Dead,No 0,,,,,none 0,,No 0,,,,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,Secondary 10,Secondary(&11) 10,No 0,No 0,III,regular school 1,Arts 1,No 0,,.d,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Rarely 2,Sometimes 3,Sometimes 3,Rarely 2,,,166.0,166.0,Standing 2,55.0,55.0,No 0,urban 1,other urban 1,non-metro,,555.78997802735,979.0,0.6208791136742,3.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,88630.0,29543.3339844,20.0,19.0,,,0.0,0.0,,72000.0,,0.0,,72000.0,24000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,72000.0,62.0,47.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2 years post-secondary,Secondary 10,2 years post-secondary,,,,,,,,,No 0,,,No 0,,
